gen_no,avg_cost,min_cost,max_cost,time
0,7771.0,5373,11268,8.000612258911133
1,7175.87,5335,9395,229.99978065490723
2,6796.76,5335,9898,459.0311050415039
3,6652.33,5366,9577,697.0310211181641
4,6423.34,5032,9340,928.0307292938232
5,6184.49,4938,9334,1199.0525722503662
6,6332.21,4862,10475,1433.023452758789
7,6154.01,4862,9880,1695.0314044952393
8,6006.98,4862,9457,1920.9997653961182
9,6052.04,4862,9263,2177.037477493286
10,5212.4,4862,7316,2394.0300941467285
11,5598.06,4862,8989,2666.026830673218
12,5367.93,4862,9043,2883.9995861053467
13,5136.73,4862,8004,3172.1720695495605
14,5188.71,4862,8932,3361.171007156372
15,5034.4,4862,8867,3569.2052841186523
16,5106.33,4862,10070,3846.1713790893555
17,5072.79,4862,8568,4081.171989440918
18,5156.64,4862,9858,4353.173494338989
19,5065.05,4862,7807,4663.1715297698975
20,5049.03,4862,8074,4923.202037811279
21,5099.5,4862,9116,5163.1715297698975
22,5250.85,4862,9236,5426.173210144043
23,5086.53,4862,7697,5625.135660171509
24,5069.93,4862,7294,5876.136302947998
25,5176.01,4862,10210,6088.167190551758
26,5245.47,4862,9560,6299.134969711304
27,5175.35,4862,7628,6567.174434661865
28,5167.77,4862,8932,6793.174028396606
29,5124.38,4862,8558,7002.166986465454
30,5031.29,4862,8184,7199.135303497314
31,5064.08,4862,8558,7419.166326522827
32,5038.84,4862,7807,7623.168468475342
33,5195.27,4862,9484,7855.134963989258
34,5145.0,4862,8622,8054.166793823242
35,5139.22,4862,8211,8241.173505783081
36,5134.25,4862,7801,8478.135347366333
37,5066.94,4862,8480,8676.203489303589
38,4970.07,4862,6396,8883.171319961548
39,5069.31,4862,8328,9098.204612731934
40,4998.55,4862,7697,9336.204290390015
41,4965.06,4862,7132,9510.20359992981
42,5065.69,4862,8042,9756.205558776855
43,5076.92,4862,9425,9951.77435874939
44,5042.44,4862,8456,10195.804834365845
45,5223.98,4862,8622,10409.944534301758
46,5144.41,4862,8932,10583.949327468872
47,5030.56,4862,6730,10853.533744812012
48,5092.39,4862,7994,11057.530641555786
49,4984.66,4862,7295,11292.50693321228
50,5119.41,4862,8558,11501.506805419922
51,5187.75,4862,8367,11728.537321090698
52,5062.95,4862,8668,11942.235231399536
53,5191.83,4862,8668,12156.233310699463
54,5004.54,4862,8558,12338.200807571411
55,5099.44,4862,8558,12535.23302078247
56,5131.72,4862,9201,12809.202194213867
57,4991.52,4862,7294,13043.342590332031
58,5097.3,4862,8558,13263.313293457031
59,5036.37,4862,7908,13566.34497642517
60,5008.86,4862,6396,13786.31329536438
61,5092.39,4862,9393,14035.343647003174
62,5115.27,4862,7208,14299.33214187622
63,5089.52,4862,6340,14550.337314605713
64,5113.78,4862,7294,14829.313039779663
65,5161.75,4862,8093,15052.34432220459
66,4970.79,4862,6238,15327.359437942505
67,4972.56,4862,8534,15537.314653396606
68,5047.72,4862,7907,15800.34351348877
69,5169.72,4862,8558,16043.31350326538
70,5101.38,4862,6972,16291.311740875244
71,5016.09,4862,8318,16509.313106536865
72,5012.22,4862,8558,16674.313068389893
73,5060.23,4862,7907,16937.312841415405
74,5015.58,4862,7983,17148.343086242676
75,5142.44,4862,8558,17386.311292648315
76,5085.48,4862,7997,17598.337173461914
77,5148.81,4862,8558,17886.311769485474
78,5041.88,4862,8660,18088.342905044556
79,5113.11,4862,8026,18296.34380340576
80,5189.37,4862,7826,18550.31991004944
81,5079.16,4862,7406,18748.342990875244
82,5015.55,4862,8558,18981.343746185303
83,5119.65,4862,8318,19181.336402893066
84,5140.77,4862,8026,19389.34278488159
85,4913.16,4862,5973,19582.345247268677
86,4975.12,4862,6396,19823.35138320923
87,4996.31,4862,8558,20037.35113143921
88,4974.75,4862,7916,20246.38319015503
89,5060.22,4862,8026,20486.3760471344
90,5011.76,4862,7294,20689.351558685303
91,5010.06,4862,7721,20911.351442337036
92,5111.28,4862,9393,21101.382970809937
93,5100.95,4862,7860,21348.382711410522
94,5057.08,4862,8594,21566.38216972351
95,5078.96,4862,7907,21800.52161216736
96,5116.03,4862,8551,22008.522510528564
97,5079.26,4862,8558,22265.924215316772
98,5108.25,4862,8558,22490.893363952637
99,5059.08,4862,8558,22693.923473358154
