gen_no,avg_cost,min_cost,max_cost,time
0,24228.85,13810,28945,8.997917175292969
1,18871.7,13810,28095,190.02437591552734
2,14202.5,13340,20990,346.9994068145752
3,13880.55,13340,20525,554.5125007629395
4,13723.7,13340,23310,724.5137691497803
5,13512.95,12765,20790,891.5131092071533
6,13425.25,12765,24905,1113.513708114624
7,13181.8,12765,24665,1287.536859512329
8,13154.9,12765,21715,1507.5438022613525
9,13420.1,12680,23835,1685.5123043060303
10,13184.65,12680,26350,1872.544527053833
11,13215.6,12090,23510,2056.537389755249
12,12832.55,12090,23160,2276.515007019043
13,12430.0,12090,19120,2472.513437271118
14,12289.7,12090,19120,2661.543846130371
15,12274.8,12090,18130,2844.557285308838
16,12272.5,12090,19120,2996.544599533081
17,12456.5,12090,22565,3202.5442123413086
18,12443.35,12090,23160,3378.544569015503
19,12332.15,12090,18785,3588.5372161865234
20,12339.3,12090,23610,3757.5137615203857
21,12429.75,12090,22010,3929.0215969085693
22,12393.7,12090,20560,4123.0223178863525
23,12319.9,12090,18300,4296.0216999053955
24,12374.75,12090,19200,4481.048345565796
25,12596.3,12090,21590,4718.056440353394
26,12301.5,12090,19420,4909.022331237793
27,12284.3,12090,21060,5154.022932052612
28,12323.55,12090,21260,5347.021102905273
29,12603.45,12090,21980,5511.05260848999
30,12400.7,12090,20560,5757.022857666016
31,12430.8,12090,21210,5957.024574279785
32,12196.75,12090,16210,6146.0206508636475
33,12303.4,12090,21250,6411.022663116455
34,12516.15,12090,20510,6621.026277542114
35,12433.0,12090,24950,6809.034585952759
36,12657.65,12090,23160,7032.021284103394
37,12476.35,12090,23160,7205.053091049194
38,12481.8,12090,20560,7437.052249908447
39,12322.3,12090,20680,7598.052978515625
40,12260.55,12090,20035,7731.048583984375
41,12470.8,12090,24570,7953.02414894104
42,12494.5,12000,20490,8154.021739959717
43,12383.5,12000,19360,8321.05278968811
44,12324.1,12000,20290,8591.022253036499
45,12531.4,12000,24115,8816.020488739014
46,12590.0,12000,24490,9071.052551269531
47,12257.4,11640,17400,9236.077785491943
48,12119.9,11640,19425,9444.045543670654
49,12314.75,11640,22500,9655.055522918701
50,11858.55,11640,17860,9843.053340911865
51,11828.9,11640,21530,10097.021341323853
52,12090.45,11415,22500,10347.023487091064
53,11847.55,11415,19735,10558.022022247314
54,11712.4,11415,21815,10770.021677017212
55,11698.15,11415,17405,10918.02167892456
56,11486.2,11415,14960,11163.022756576538
57,11720.45,11415,21825,11467.021942138672
58,11695.7,11415,19305,11652.03046798706
59,11840.75,11415,24465,12032.023906707764
60,12078.75,11415,23375,12396.023035049438
61,11423.65,11415,11940,12595.021486282349
62,11617.45,11415,17185,12788.020610809326
63,11981.25,11415,24600,13036.02123260498
64,11760.0,11415,18245,13226.021766662598
65,11898.45,11415,19495,13435.023069381714
66,11642.25,11415,22530,13653.022766113281
67,11697.75,11415,21295,13817.021608352661
68,12038.2,11415,22245,14068.02225112915
69,11744.55,11415,20450,14302.022457122803
70,11830.5,11415,19730,14488.053560256958
71,11865.35,11415,21265,14719.022274017334
72,11749.1,11415,19455,14908.046245574951
73,11736.2,11415,21265,15134.023427963257
74,11679.25,11415,21265,15363.022565841675
75,11601.6,11415,19775,15533.024072647095
76,11535.1,11415,17395,15759.046077728271
77,11850.45,11415,20175,15932.033777236938
78,11611.75,11415,19875,16104.022026062012
79,11834.15,11415,19990,16312.052965164185
80,11785.9,11415,21265,16518.060445785522
81,11729.95,11415,19305,16725.021600723267
82,11792.15,11415,18410,16976.020574569702
83,11850.15,11415,19415,17199.023246765137
84,11585.35,11415,16080,17433.021545410156
85,11637.85,11415,18480,17625.022649765015
86,11517.8,11415,15935,17818.020582199097
87,11636.9,11415,19405,18019.022703170776
88,11930.4,11415,20935,18309.022903442383
89,11617.2,11415,20655,18553.022146224976
90,11539.95,11415,20705,18740.052223205566
91,11651.2,11415,18425,18909.021377563477
92,12009.1,11415,21745,19073.05598258972
93,12320.15,11415,26725,19289.020538330078
94,11552.8,11415,17465,19473.052740097046
95,12046.95,11415,22275,19656.052589416504
96,11678.7,11415,20935,19865.052700042725
97,11879.1,11415,25665,20041.051864624023
98,11757.2,11415,21815,20279.022455215454
99,11639.5,11415,20935,20475.05283355713
