gen_no,avg_cost,min_cost,max_cost,time
0,24228.85,13810,28945,8.970260620117188
1,18208.65,13595,28010,162.9800796508789
2,14525.6,13185,23180,318.9992904663086
3,14424.0,13185,26625,520.0014114379883
4,14480.4,13185,27655,688.9681816101074
5,14192.25,12380,26035,869.966983795166
6,14044.35,11415,25595,1091.9771194458008
7,13959.4,11415,27245,1335.968017578125
8,12113.75,11415,21290,1525.9990692138672
9,12104.4,11415,22140,1714.9994373321533
10,12477.1,11415,24545,1896.9988822937012
11,12446.9,11415,26605,2124.966859817505
12,12419.2,11415,22840,2286.998987197876
13,11992.25,11415,22410,2451.9994258880615
14,12352.4,11415,24340,2672.9676723480225
15,12876.35,11415,26115,2831.9993019104004
16,12375.25,11415,25665,3003.9749145507812
17,12347.8,11415,26435,3176.9673824310303
18,12715.5,11415,22200,3354.5024394989014
19,12339.0,11415,22755,3578.502416610718
20,12628.45,11415,24195,3723.5023975372314
21,12625.75,11415,25175,3910.4959964752197
22,12551.25,11415,24045,4109.006881713867
23,13100.8,11415,25810,4279.982089996338
24,12064.4,11415,22245,4497.013568878174
25,12610.3,11415,24085,4710.021018981934
26,12568.95,11415,28315,4897.984027862549
27,12356.65,11415,27520,5113.013982772827
28,12504.6,11415,23685,5267.0135498046875
29,12357.45,11415,24000,5473.9813804626465
30,12255.6,11415,23385,5684.541702270508
31,12453.35,11415,26695,5868.542194366455
32,12954.0,11415,26025,6086.517810821533
33,12658.9,11415,27390,6297.5172996521
34,12482.4,11415,25480,6477.517366409302
35,12228.4,11415,22245,6651.54242515564
36,12425.1,11415,25495,6817.519426345825
37,13133.2,11415,26265,7005.517482757568
38,13360.3,11415,29125,7189.106225967407
39,12656.45,11415,25380,7363.105297088623
40,12506.65,11415,27845,7535.081148147583
41,12455.95,11415,29385,7764.081954956055
42,12188.1,11415,27410,7921.119451522827
43,12790.85,11415,24045,8129.119873046875
44,12374.3,11415,23225,8340.081453323364
45,12417.15,11415,24025,8511.10577583313
46,12479.15,11415,23885,8672.647476196289
47,12406.6,11415,23135,8904.645919799805
48,12283.15,11415,28525,9077.677488327026
49,12778.1,11415,24505,9295.654296875
50,13070.8,11415,26085,9492.647171020508
51,12667.4,11415,22275,9672.64699935913
52,12566.0,11415,25200,9896.67797088623
53,12540.6,11415,24255,10074.6750831604
54,12802.05,11415,25900,10285.215616226196
55,12316.7,11415,24295,10455.184698104858
56,12977.0,11415,23900,10651.208400726318
57,11988.95,11415,20765,10830.216407775879
58,13078.55,11415,26615,11010.184288024902
59,12173.75,11415,30170,11182.215213775635
60,12499.15,11415,24660,11355.21650314331
61,12679.95,11415,22965,11547.18542098999
62,13033.9,11415,26635,11760.215759277344
63,12270.45,11415,24600,11925.215244293213
64,12440.2,11415,29965,12085.208415985107
65,12455.15,11415,27045,12289.217948913574
66,12327.0,11415,22275,12451.215744018555
67,12663.95,11415,25130,12605.188608169556
68,12535.15,11415,24900,12793.184041976929
69,12713.45,11415,24385,12955.214977264404
70,12260.6,11415,25205,13098.79183769226
71,12555.1,11415,23550,13284.886837005615
72,12567.55,11415,26005,13456.852912902832
73,12933.25,11415,27135,13652.891874313354
74,12579.65,11415,24725,13851.884126663208
75,12047.4,11415,25300,14032.885789871216
76,12498.45,11415,25275,14223.877429962158
77,12470.3,11415,27575,14408.864974975586
78,13038.8,11415,23300,14619.877099990845
79,12943.5,11415,25265,14847.878694534302
80,13099.15,11415,24500,15084.854364395142
81,12231.25,11415,22085,15295.853853225708
82,12603.9,11415,25095,15541.852951049805
83,11974.4,11415,23045,15726.853609085083
84,12624.1,11415,21960,15940.575361251831
85,12264.1,11415,26130,16180.575132369995
86,12308.9,11415,21745,16373.610019683838
87,12282.35,11415,22645,16637.57371902466
88,12481.65,11415,24685,16856.586456298828
89,13063.55,11415,27215,17071.575164794922
90,12929.95,11415,26255,17370.575428009033
91,12390.15,11415,23760,17565.60492515564
92,12453.55,11415,27985,17766.287088394165
93,12288.3,11415,23885,18015.284776687622
94,12225.35,11415,27880,18207.284688949585
95,13116.6,11415,26150,18458.28676223755
96,12879.8,11415,26375,18675.285577774048
97,12854.5,11415,26725,18879.284381866455
98,13124.2,11415,28760,19114.308834075928
99,12466.5,11415,26480,19295.287132263184
