gen_no,avg_cost,min_cost,max_cost,time
0,24517.8,13810,30910,34.998416900634766
1,20266.41,13795,31070,3928.999423980713
2,17343.91,12575,28710,8029.0281772613525
3,14450.91,11855,26895,13288.002729415894
4,13767.53,11565,28490,17943.000316619873
5,12421.81,11375,25205,22483.001232147217
6,12127.54,11205,24805,27343.015670776367
7,11789.28,11205,23465,32463.023900985718
8,11593.73,11205,23285,36617.03062057495
9,11471.41,11205,25985,41209.00082588196
10,11558.39,11205,27145,46129.000663757324
11,11572.18,11205,26895,50898.54693412781
12,11733.71,11205,23695,55754.066705703735
13,11596.97,11205,24145,61067.065477371216
14,11467.21,11205,23275,66093.07789802551
15,11748.89,11205,23135,71668.07913780212
16,11598.68,11205,26620,76937.10207939148
17,11439.65,11205,22805,81529.07729148865
18,11505.63,11205,22665,86504.07910346985
19,11602.19,11205,23305,92079.1642665863
20,11617.08,11205,23060,97497.16711044312
21,11556.61,11205,25255,102528.19490432739
22,11603.38,11205,24250,107945.17683982849
23,11537.94,11205,22825,113272.18914031982
24,11531.59,11205,22805,118086.19499206543
25,11531.92,11205,25125,122714.5848274231
26,11610.43,11205,26830,127928.5843372345
27,11548.66,11205,24565,132773.5834121704
28,11762.11,11205,24650,137667.09351539612
29,11635.0,11205,24675,142760.11967658997
30,11710.59,11205,30595,147229.11739349365
31,11575.35,11205,28425,152371.09208106995
32,11546.32,11205,23095,157440.09637832642
33,11613.77,11205,22805,162951.10702514648
34,11540.71,11205,23615,168529.0961265564
35,11586.3,11205,21640,173678.09391021729
36,11652.02,11205,23785,179169.11697387695
37,11549.94,11205,24100,184651.09372138977
38,11635.35,11205,23675,189916.11766815186
39,11599.64,11205,22965,194732.1171760559
40,11532.4,11205,24645,199426.13077163696
41,11530.62,11205,25125,204851.63640975952
42,11666.07,11205,25045,210388.6752128601
43,11533.93,11205,23415,215317.22354888916
44,11520.77,11205,23765,220682.22332000732
45,11468.91,11205,26595,226033.48660469055
46,11646.99,11205,23695,230696.5148448944
47,11593.64,11205,23945,235731.49418830872
48,11437.02,11205,22325,241181.48493766785
49,11559.46,11205,22805,246273.48613739014
50,11666.83,11205,27485,251394.48499679565
51,11615.28,11205,28425,256660.48336029053
52,11737.67,11205,22965,262418.5149669647
53,11511.53,11205,24575,267442.4865245819
54,11615.23,11205,23110,272739.4857406616
55,11632.5,11205,22325,278215.48867225647
56,11564.67,11205,24995,283057.0571422577
57,11599.33,11205,22665,288721.0810184479
58,11560.41,11205,23975,293487.08033561707
59,11438.25,11205,21265,298342.09084510803
60,11691.22,11205,26355,302848.05727005005
61,11451.62,11205,23565,307768.0571079254
62,11400.74,11205,20525,312948.0879306793
63,11457.59,11205,22805,317710.081577301
64,11564.3,11205,22725,322816.05768203735
65,11629.66,11205,23485,327833.055973053
66,11575.69,11205,25085,332396.089553833
67,11541.69,11205,22325,337425.08697509766
68,11591.31,11205,22825,342075.08730888367
69,11495.2,11205,22665,347025.0883102417
70,11636.07,11205,25520,351426.0883331299
71,11467.81,11205,24830,357145.0569629669
72,11525.4,11205,22820,362847.1419811249
73,11598.27,11205,22825,367881.1366558075
74,11635.94,11205,27330,373174.13663864136
75,11560.62,11205,22670,378881.40869140625
76,11628.5,11205,23930,383628.37624549866
77,11558.0,11205,26415,387997.4081516266
78,11450.69,11205,22935,393250.41007995605
79,11483.38,11205,22325,397947.3879337311
80,11508.77,11205,22950,403046.40793800354
81,11523.89,11205,23300,407959.3780040741
82,11561.98,11205,24370,412405.4081439972
83,11554.54,11205,23895,417252.4082660675
84,11547.05,11205,27040,422234.4982624054
85,11533.56,11205,23945,426646.4726924896
86,11670.94,11205,23775,431627.50458717346
87,11528.07,11205,22825,436070.5041885376
88,11517.66,11205,22670,440869.50421333313
89,11550.7,11205,22325,445501.50513648987
90,11515.24,11205,22965,449976.47309303284
91,11707.69,11205,27445,454762.47358322144
92,11522.25,11205,22825,460218.79744529724
93,11655.75,11205,24690,465565.77920913696
94,11622.65,11205,23405,470817.7719116211
95,11694.43,11205,23625,476315.7911300659
96,11579.83,11205,28595,481552.79064178467
97,11538.26,11205,23995,486166.7983531952
98,11645.8,11205,25750,490599.80154037476
99,11568.81,11205,23965,495169.7676181793
