gen_no,avg_cost,min_cost,max_cost,time
0,24130.9,18720,28935,5.000114440917969
1,23511.1,17085,29415,71.00152969360352
2,23339.2,17085,27570,131.99925422668457
3,22362.3,16720,26600,189.00060653686523
4,18183.9,16995,24965,251.9989013671875
5,17138.1,16995,18575,311.02967262268066
6,17212.5,16995,21390,371.0463047027588
7,17193.6,16995,20445,430.03034591674805
8,17608.5,16995,22040,502.99835205078125
9,17304.6,16995,21005,558.0301284790039
10,17463.6,16995,21725,612.0524406433105
11,17450.0,16995,22975,661.0391139984131
12,17361.7,16920,19585,707.0245742797852
13,17328.7,16920,22040,764.0295028686523
14,17280.1,16920,22975,819.0228939056396
15,17185.7,16920,18460,873.023509979248
16,17448.5,17085,22040,935.023307800293
17,17217.0,14955,20985,982.0303916931152
18,17302.6,14955,22975,1077.0015716552734
19,17029.3,14955,19425,1134.9999904632568
20,16969.1,14955,24535,1193.0005550384521
21,16239.2,14955,21645,1245.0008392333984
22,15859.1,13195,20030,1318.0017471313477
23,15449.9,13565,21605,1383.9983940124512
24,15108.5,13365,17915,1443.998098373413
25,15145.0,13365,18385,1500.9996891021729
26,15406.4,13365,23785,1558.0313205718994
27,14985.4,13035,27445,1642.014980316162
28,14868.7,13035,21655,1704.0011882781982
29,15197.3,12865,21655,1766.0002708435059
30,14352.1,12865,19710,1819.997787475586
31,13823.3,12865,20120,1877.997636795044
32,14109.8,13035,25635,1939.9986267089844
33,13913.3,13035,20120,1998.523473739624
34,13848.2,12865,22575,2067.4917697906494
35,14104.7,12865,24710,2118.523359298706
36,13765.8,13035,17225,2188.4915828704834
37,13802.8,13035,26625,2253.4918785095215
38,13740.1,13035,22470,2320.490837097168
39,13931.3,13195,24995,2366.516351699829
40,13848.1,13055,20275,2423.4933853149414
41,13831.9,13055,23515,2483.492374420166
42,13595.7,13055,21945,2537.4913215637207
43,13504.7,13055,17705,2592.491626739502
44,13747.7,13055,22655,2641.491413116455
45,14248.5,12475,24995,2725.491523742676
46,13895.7,12475,27105,2784.510850906372
47,13416.0,12475,18570,2844.5162773132324
48,13505.2,12475,22350,2894.4931030273438
49,13693.2,12475,25515,2946.5250968933105
50,13213.9,12475,19950,2999.522924423218
51,13022.2,12475,15135,3069.4918632507324
52,13450.5,12475,24275,3130.492925643921
53,12980.4,12475,17775,3188.4913444519043
54,12975.6,12475,15505,3243.4909343719482
55,13283.0,12475,21945,3321.4924335479736
56,13358.0,12475,18555,3369.4918155670166
57,13541.2,12475,22160,3435.4913234710693
58,13229.1,12475,21510,3483.4909439086914
59,13174.8,12475,24795,3540.5235290527344
60,12876.8,12475,19190,3600.4927158355713
61,13230.0,12475,24075,3657.4923992156982
62,13002.8,12475,24075,3709.491729736328
63,13034.9,12475,20815,3759.4921588897705
64,13071.6,12475,22600,3843.4934616088867
65,13186.4,12015,20905,3906.491756439209
66,13034.7,12475,19190,3959.494113922119
67,12584.3,12475,14500,4014.521837234497
68,13168.8,12085,22235,4072.4918842315674
69,13020.8,12085,23450,4133.492469787598
70,12638.5,12470,13525,4181.49209022522
71,12939.9,12470,25370,4232.516527175903
72,12908.7,12470,21265,4286.491870880127
73,13197.8,12470,24125,4337.519407272339
74,13136.9,12470,24275,4410.517454147339
75,12932.7,12470,17495,4472.491502761841
76,13169.0,11945,22255,4529.492378234863
77,13153.0,11945,22820,4582.491874694824
78,12844.1,11945,18300,4627.490997314453
79,12893.3,11945,24005,4691.4918422698975
80,12541.5,11945,13790,4748.492479324341
81,12547.2,11945,15195,4798.492908477783
82,12609.1,11945,15865,4852.4909019470215
83,13214.4,11945,26120,4910.491466522217
84,13018.5,11825,21020,5002.492904663086
85,12673.7,11825,15585,5074.4922161102295
86,12734.3,11825,16245,5126.49130821228
87,12721.6,11945,17325,5188.4925365448
88,13035.8,11945,21235,5239.492177963257
89,12870.3,11945,16245,5300.49204826355
90,13103.1,11825,17625,5361.490964889526
91,13221.2,11945,24090,5416.490793228149
92,12840.3,11945,17525,5478.492259979248
93,13100.4,11945,23820,5558.491230010986
94,12535.8,11945,17725,5622.491836547852
95,12798.0,11945,22810,5684.490919113159
96,12814.8,11945,17725,5742.490768432617
97,12722.2,11945,17725,5795.491695404053
98,13098.4,11945,23140,5852.492332458496
99,12802.5,11945,23130,5911.525249481201
