gen_no,avg_cost,min_cost,max_cost,time
0,24331.925,13810,30865,18.000125885009766
1,21163.8,13810,29195,693.9983367919922
2,18223.75,13340,30465,1398.0011940002441
3,16609.25,13280,25545,2176.9983768463135
4,15621.4,13190,26845,2865.023374557495
5,14575.75,13210,23005,3582.0229053497314
6,14349.2,13210,23175,4403.02300453186
7,14151.25,12765,20815,5143.037557601929
8,14166.9,12635,24670,6008.001089096069
9,14295.15,12635,23310,6754.020690917969
10,14135.1,12635,26400,7510.023355484009
11,14255.6,12345,27245,8322.999477386475
12,14091.375,12415,22420,9029.023170471191
13,14152.75,12280,25480,9775.99835395813
14,13980.3,12415,22630,10553.998231887817
15,13971.4,11585,25385,11247.023820877075
16,13822.0,12185,20420,12086.998701095581
17,13770.675,12185,24350,12766.000032424927
18,13782.225,12175,23310,13493.998765945435
19,13798.025,12230,21875,14179.023265838623
20,13809.2,12280,28450,14970.027446746826
21,13805.225,12335,21440,15733.508348464966
22,13930.3,12335,24610,16538.509130477905
23,13896.475,12335,22150,17336.509943008423
24,13865.775,12335,23870,18085.53433418274
25,14131.55,12175,23440,18848.549365997314
26,13779.725,12175,22615,19619.53330039978
27,13548.65,12010,22665,20326.51138305664
28,13789.75,12090,23040,21132.548809051514
29,13714.375,12090,22630,21846.50993347168
30,13648.4,11860,22715,22571.53344154358
31,13713.325,11860,22560,23359.51590538025
32,13421.5,11895,20975,24072.534322738647
33,13556.35,11895,22655,24750.5099773407
34,13491.475,11415,23295,25532.509803771973
35,13704.5,11415,22285,26342.556953430176
36,13521.325,11415,22970,27150.508880615234
37,13537.525,12010,25980,27938.51065635681
38,13555.35,11860,22790,28661.53383255005
39,13434.525,11860,25650,29470.510005950928
40,13393.2,11785,22815,30213.5329246521
41,13401.1,11415,24905,30918.508529663086
42,13366.9,11415,22750,31774.533987045288
43,13014.65,11415,20675,32600.510358810425
44,12990.05,11415,19870,33492.50936508179
45,13072.325,11415,22205,34305.51099777222
46,13121.775,11415,23635,35268.50986480713
47,13036.825,11415,23480,36316.510915756226
48,13106.9,11415,24585,37180.508852005005
49,12949.8,11415,23465,37952.53539085388
50,12928.2,11415,21515,38832.510232925415
51,12767.75,11415,23635,39621.51288986206
52,12796.775,11415,22105,40530.50994873047
53,12642.225,11415,21655,41358.510971069336
54,12878.425,11415,25020,42272.533893585205
55,12744.175,11415,24180,43230.53431510925
56,12872.2,11415,24035,44021.50893211365
57,12896.675,11415,23240,44882.53426551819
58,12957.85,11415,24200,45764.5103931427
59,12676.125,11415,24255,46860.511779785156
60,12834.275,11415,22855,47637.5367641449
61,12737.825,11415,27765,48494.524002075195
62,12765.925,11415,23065,49261.512756347656
63,12775.675,11415,23380,49939.509868621826
64,12843.7,11415,24100,50723.51050376892
65,12779.25,11415,23105,51541.53299331665
66,12787.975,11415,23325,52598.51622581482
67,12499.275,11415,21455,53405.50947189331
68,12470.6,11415,23810,54312.50882148743
69,12557.35,11415,23165,55073.53353500366
70,12686.85,11415,25500,55930.532932281494
71,12692.125,11415,20935,56743.53384971619
72,12507.15,11415,25475,57641.533613204956
73,12458.15,11415,23420,58540.53330421448
74,12226.2,11415,22175,59353.50847244263
75,12181.025,11415,22750,60167.53363609314
76,12373.5,11415,22535,61140.51032066345
77,12721.025,11415,24580,62032.50956535339
78,12619.25,11415,22195,62807.51037597656
79,12520.7,11205,23205,63605.51166534424
80,12133.75,11205,21215,64493.50810050964
81,12445.15,11205,22815,65230.53479194641
82,12368.725,11205,25360,65949.5096206665
83,12627.975,11415,22355,66821.50864601135
84,12433.2,11415,21920,67617.5103187561
85,12306.375,11415,25780,68431.51021003723
86,12388.3,11415,21605,69251.53350830078
87,12497.65,11415,20595,70172.54900932312
88,12163.0,11415,21815,70927.52623558044
89,12292.175,11415,22245,71613.53325843811
90,12150.325,11415,26070,72347.53394126892
91,12272.25,11415,22010,73079.53977584839
92,12541.625,11415,22780,73854.53367233276
93,12541.35,11415,24335,74749.50885772705
94,12454.7,11415,23325,75524.50823783875
95,12636.75,11415,26015,76406.5330028534
96,12415.55,11415,23835,77114.50862884521
97,12269.1,11415,22275,77879.53400611877
98,12445.325,11415,22100,78687.50977516174
99,12386.0,11415,22060,79559.02194976807
