gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,22.030353546142578
1,35867.37,26089,46636,287.6923084259033
2,30959.57,26089,42537,520.7183361053467
3,26648.9,25049,34496,788.715124130249
4,26306.02,24709,37958,1033.7176322937012
5,25497.36,24429,34289,1353.7163734436035
6,24922.06,23913,37441,1621.7305660247803
7,24648.82,23403,31794,1892.7462100982666
8,24342.91,22988,33671,2166.7354106903076
9,23916.54,22004,31381,2429.213523864746
10,22917.57,21468,30008,2665.266513824463
11,22023.68,21148,28463,2920.2356338500977
12,21868.35,21148,28412,3179.2354583740234
13,21861.88,21148,34855,3478.236436843872
14,21611.86,20138,31246,3712.2676372528076
15,21695.84,20138,33376,3952.275037765503
16,20894.09,19718,28117,4203.829050064087
17,20724.61,19718,31188,4440.821886062622
18,20242.02,19718,29943,4662.829160690308
19,20369.27,19258,28641,4935.141801834106
20,20073.15,18518,29128,5157.650709152222
21,19646.67,18518,29629,5419.657230377197
22,19447.72,18518,27483,5688.118934631348
23,18965.21,17636,27483,5929.118633270264
24,18847.44,17636,29388,6199.120044708252
25,18437.88,17636,29204,6465.119123458862
26,18286.38,16543,30577,6691.096782684326
27,17871.0,16543,25438,6929.0876388549805
28,17323.48,16543,27428,7205.119848251343
29,17247.52,16268,30254,7479.086637496948
30,17294.7,16268,30775,7699.119567871094
31,17312.74,16268,29678,7930.087566375732
32,17361.32,16188,30923,8216.09115600586
33,16859.94,16188,28803,8454.087257385254
34,17179.71,16188,28388,8699.085474014282
35,17223.73,16188,35763,8980.069398880005
36,16804.72,16188,27505,9225.077152252197
37,17117.32,16188,28084,9490.071058273315
38,16813.8,16188,27648,9718.045473098755
39,17115.13,16188,29048,9934.077024459839
40,16928.87,16188,27801,10213.077306747437
41,16702.54,16188,25448,10461.079120635986
42,16769.66,15728,26048,10709.047079086304
43,16735.66,15728,31272,10956.076622009277
44,16571.8,15373,29460,11178.077459335327
45,16447.65,15373,28448,11433.078050613403
46,16408.07,15373,30762,11699.076890945435
47,15929.46,15373,24303,11941.070556640625
48,16130.11,15373,31369,12208.07671546936
49,16166.63,15373,25989,12438.050270080566
50,15843.08,15373,27631,12681.045532226562
51,15918.7,15373,23010,12950.076580047607
52,16102.91,15373,28256,13223.077535629272
53,16417.48,15265,25513,13523.05269241333
54,16387.76,15265,29153,13705.076456069946
55,16041.56,15265,29523,13963.653564453125
56,15895.37,15265,24387,14229.621648788452
57,16408.48,15265,29099,14471.1275100708
58,16230.25,15095,37315,14705.30366897583
59,15831.09,15095,24984,14971.919536590576
60,15549.61,15095,23861,15199.918031692505
61,16016.4,15095,31885,15480.917692184448
62,16089.57,15095,29296,15725.91781616211
63,15745.68,15095,30929,15954.917430877686
64,15959.82,15095,25595,16203.885555267334
65,15631.38,15095,24119,16429.911375045776
66,16019.23,15095,28999,16690.923929214478
67,15598.9,15095,24241,16977.92387008667
68,15815.4,15095,32805,17186.91635131836
69,15960.78,15095,27940,17477.885723114014
70,15666.46,15095,26956,17706.915855407715
71,15900.24,15095,24817,17944.88525390625
72,15512.7,15095,22015,18202.884912490845
73,16130.0,15095,33899,18411.9234085083
74,15750.17,15095,24665,18656.91637992859
75,15747.27,15095,25247,18929.884910583496
76,15781.96,15095,27671,19147.884607315063
77,15842.73,15095,27165,19378.885746002197
78,16364.14,15095,29678,19658.916473388672
79,16011.86,15095,26860,19869.916200637817
80,15782.91,15095,26225,20114.91632461548
81,15829.92,15035,33424,20375.88596343994
82,15890.87,15035,25091,20601.916313171387
83,15831.31,15035,30041,20842.91648864746
84,15521.53,15035,24908,21072.917938232422
85,15530.57,15035,24225,21306.917667388916
86,15760.74,15035,25409,21589.426517486572
87,15753.51,15035,35080,21813.419580459595
88,15775.61,15035,29010,22041.43452644348
89,15915.44,15035,31930,22274.4197845459
90,15700.84,15035,32090,22531.426191329956
91,15808.33,15035,24957,22752.421855926514
92,15785.68,15035,24135,23024.42693710327
93,16090.01,15035,27057,23275.657653808594
94,15829.99,15035,25180,23545.588970184326
95,15339.12,15035,22308,23764.62149620056
96,15836.52,15035,25231,23986.37366294861
97,15556.32,15035,26838,24261.37089729309
98,16230.07,15035,32624,24503.40247154236
99,15656.18,15035,26003,24744.39573287964
