gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,12.999296188354492
1,33305.59,25617,40986,242.91753768920898
2,28590.08,25617,39566,496.97065353393555
3,26202.75,24329,35029,757.9407691955566
4,25871.38,24062,40016,1011.9707584381104
5,24607.0,22956,33463,1294.942855834961
6,23965.68,22394,36979,1613.9686107635498
7,23258.99,22031,31997,1851.9408702850342
8,23105.4,21791,34394,2131.990671157837
9,22810.32,21791,33131,2394.9708938598633
10,22442.64,21791,34219,2646.939754486084
11,22254.82,21791,32198,2930.971384048462
12,22235.94,21513,29686,3191.9403076171875
13,21933.89,21513,29019,3448.9405155181885
14,21667.29,21513,26541,3665.940046310425
15,22251.88,20033,33561,3906.557321548462
16,21406.33,20033,26767,4171.546459197998
17,21172.29,19348,34510,4473.51598739624
18,20358.73,19348,30418,4716.517210006714
19,20106.82,18986,32545,5023.201465606689
20,19845.55,18986,27494,5258.247375488281
21,19775.42,18986,30825,5538.223743438721
22,19877.81,18986,29944,5791.6436195373535
23,19466.11,18986,27999,6032.828569412231
24,19583.79,18986,26728,6293.822288513184
25,19653.03,18476,31350,6555.821657180786
26,19590.18,18476,32156,6792.790412902832
27,18745.29,18316,24186,7016.823291778564
28,19093.65,18316,26756,7245.814561843872
29,18800.66,18316,26759,7465.814828872681
30,18929.34,18316,26976,7750.821828842163
31,19052.34,18316,29502,7950.822353363037
32,19290.27,18316,31166,8233.789443969727
33,18909.26,18316,28981,8483.822107315063
34,19279.2,18316,31661,8731.82988166809
35,18874.3,18316,33217,8986.790180206299
36,18799.54,18316,30466,9250.38766860962
37,19153.14,18316,26901,9504.387617111206
38,19015.35,17671,28671,9771.38900756836
39,18925.53,17401,26936,10018.381118774414
40,18421.85,17401,28730,10287.35637664795
41,18547.74,16865,29286,10509.366512298584
42,17898.62,16865,28471,10760.392427444458
43,17343.18,16430,27076,10996.357679367065
44,17606.18,16430,31792,11243.38984489441
45,16817.67,16430,25653,11423.389673233032
46,17451.1,16430,29584,11699.387788772583
47,16977.16,16130,26223,11944.388151168823
48,17003.93,16130,25951,12171.395063400269
49,16933.12,16130,26785,12424.356698989868
50,16660.9,16130,28510,12665.387868881226
51,16711.16,16130,27265,12927.356481552124
52,16530.62,16130,28248,13183.353662490845
53,17090.67,15870,28008,13459.333658218384
54,17071.44,15870,31864,13748.322248458862
55,16794.61,15870,27863,13979.32243347168
56,16681.99,15870,30550,14207.380771636963
57,16734.13,15870,24745,14484.411478042603
58,16754.23,15870,30883,14709.988832473755
59,16500.56,15870,23940,14974.98893737793
60,16235.93,15870,23413,15191.957712173462
61,17056.6,15870,30846,15480.17954826355
62,16591.22,15870,26728,15740.150928497314
63,16402.11,15870,25415,15958.181858062744
64,16599.68,15870,26440,16198.052167892456
65,16425.91,15870,25652,16442.08335876465
66,16796.33,15870,28570,16701.051950454712
67,16322.86,15870,27098,16978.075981140137
68,16441.42,15870,33593,17192.083835601807
69,16997.57,15870,29771,17453.08518409729
70,16579.84,15580,26841,17718.40500831604
71,16742.92,15580,31114,17955.397129058838
72,16264.73,15580,28210,18185.429334640503
73,16492.71,15580,27853,18424.397468566895
74,16362.34,15580,27045,18658.429622650146
75,16210.74,15580,26670,18907.428741455078
76,16046.14,15580,22909,19137.428522109985
77,16459.7,15580,27592,19365.397453308105
78,16550.43,15580,27844,19649.42955970764
79,16501.27,15580,32255,19859.429359436035
80,16677.96,15580,29585,20110.429286956787
81,16198.69,15052,31383,20367.42925643921
82,16466.91,15052,29130,20598.397731781006
83,16058.73,15052,28812,20817.429065704346
84,15543.64,15052,24951,21066.397190093994
85,15625.98,15052,26412,21303.428649902344
86,15580.22,14732,25204,21528.39756011963
87,15724.35,14012,23158,21792.400121688843
88,15345.67,14012,24402,22021.397590637207
89,14932.74,14012,34299,22222.428798675537
90,14861.55,13680,31331,22494.398593902588
91,14601.27,13680,23733,22725.39758682251
92,14354.45,13680,25222,22950.398206710815
93,15089.76,13680,30546,23233.428716659546
94,14377.92,13680,24043,23459.396600723267
95,14393.57,13680,27445,23710.430145263672
96,14521.61,13680,24994,23935.397386550903
97,14041.69,13680,23100,24150.65574645996
98,14614.28,13680,25295,24436.649560928345
99,14631.41,13680,27907,24695.64914703369
