gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,9.998559951782227
1,33305.59,25617,40986,249.0231990814209
2,28590.08,25617,39566,506.03795051574707
3,26202.75,24329,35029,767.0223712921143
4,25871.38,24062,40016,1027.0004272460938
5,24607.0,22956,33463,1285.0313186645508
6,23965.68,22394,36979,1590.0251865386963
7,23258.99,22031,31997,1871.9990253448486
8,23105.4,21791,34394,2225.9979248046875
9,22810.32,21791,33131,2542.9985523223877
10,22442.64,21791,34219,2819.9992179870605
11,22254.82,21791,32198,3150.9971618652344
12,22235.94,21513,29686,3420.9978580474854
13,21933.89,21513,29019,3709.9995613098145
14,21667.29,21513,26541,3969.9981212615967
15,22251.88,20033,33561,4245.001316070557
16,21406.33,20033,26767,4571.998119354248
17,21172.29,19348,34510,4882.998704910278
18,20358.73,19348,30418,5191.999912261963
19,20106.82,18986,32545,5544.998407363892
20,19845.55,18986,27494,5784.9977016448975
21,19775.42,18986,30825,6080.997705459595
22,19877.81,18986,29944,6343.997240066528
23,19466.11,18986,27999,6594.999313354492
24,19583.79,18986,26728,6869.997978210449
25,19653.03,18476,31350,7141.0088539123535
26,19590.18,18476,32156,7397.023677825928
27,18745.29,18316,24186,7661.999225616455
28,19093.65,18316,26756,7899.022102355957
29,18800.66,18316,26759,8146.038293838501
30,18929.34,18316,26976,8481.99725151062
31,19052.34,18316,29502,8702.99744606018
32,19290.27,18316,31166,9028.998851776123
33,18909.26,18316,28981,9295.023918151855
34,19279.2,18316,31661,9572.998523712158
35,18874.3,18316,33217,9911.000728607178
36,18799.54,18316,30466,10200.998306274414
37,19153.14,18316,26901,10485.999822616577
38,19015.35,17671,28671,10782.011032104492
39,18925.53,17401,26936,11075.997352600098
40,18421.85,17401,28730,11364.998579025269
41,18547.74,16865,29286,11603.999614715576
42,17898.62,16865,28471,11896.998643875122
43,17343.18,16430,27076,12171.998262405396
44,17606.18,16430,31792,12429.00013923645
45,16817.67,16430,25653,12672.000169754028
46,17451.1,16430,29584,12958.022832870483
47,16977.16,16130,26223,13212.999105453491
48,17003.93,16130,25951,13461.997747421265
49,16933.12,16130,26785,13764.99891281128
50,16660.9,16130,28510,14062.000036239624
51,16711.16,16130,27265,14360.997676849365
52,16530.62,16130,28248,14676.99933052063
53,17090.67,15870,28008,15001.997470855713
54,17071.44,15870,31864,15344.999074935913
55,16794.61,15870,27863,15591.998815536499
56,16681.99,15870,30550,15848.997116088867
57,16734.13,15870,24745,16238.998889923096
58,16754.23,15870,30883,16484.02214050293
59,16500.56,15870,23940,16791.998624801636
60,16235.93,15870,23413,17042.999505996704
61,17056.6,15870,30846,17382.9984664917
62,16591.22,15870,26728,17691.998958587646
63,16402.11,15870,25415,17921.997785568237
64,16599.68,15870,26440,18194.998264312744
65,16425.91,15870,25652,18457.99732208252
66,16796.33,15870,28570,18738.998651504517
67,16322.86,15870,27098,19051.998376846313
68,16441.42,15870,33593,19278.037071228027
69,16997.57,15870,29771,19556.999444961548
70,16579.84,15580,26841,19854.026079177856
71,16742.92,15580,31114,20146.998643875122
72,16264.73,15580,28210,20401.012420654297
73,16492.71,15580,27853,20724.99942779541
74,16362.34,15580,27045,21003.998279571533
75,16210.74,15580,26670,21280.99799156189
76,16046.14,15580,22909,21535.998821258545
77,16459.7,15580,27592,21784.998178482056
78,16550.43,15580,27844,22099.997997283936
79,16501.27,15580,32255,22329.999685287476
80,16677.96,15580,29585,22615.99850654602
81,16198.69,15052,31383,22899.9981880188
82,16466.91,15052,29130,23159.998178482056
83,16058.73,15052,28812,23404.02340888977
84,15543.64,15052,24951,23686.999320983887
85,15625.98,15052,26412,23947.999954223633
86,15580.22,14732,25204,24182.02233314514
87,15724.35,14012,23158,24449.99933242798
88,15345.67,14012,24402,24684.999704360962
89,14932.74,14012,34299,24901.998043060303
90,14861.55,13680,31331,25197.999954223633
91,14601.27,13680,23733,25428.998947143555
92,14354.45,13680,25222,25694.998264312744
93,15089.76,13680,30546,26015.998363494873
94,14377.92,13680,24043,26276.001691818237
95,14393.57,13680,27445,26581.998586654663
96,14521.61,13680,24994,26835.022926330566
97,14041.69,13680,23100,27105.000257492065
98,14614.28,13680,25295,27409.998178482056
99,14631.41,13680,27907,27675.997972488403
100,14588.36,13680,30342,27898.00214767456
101,14469.43,13680,27496,28163.99908065796
102,14850.28,13680,31781,28416.023015975952
103,14271.72,13680,31304,28720.99995613098
104,14087.82,13680,20830,28950.997352600098
105,14446.23,13680,25725,29214.017868041992
106,14617.08,13680,36816,29493.99971961975
107,14301.46,13680,25990,29753.999948501587
108,14686.71,13680,25992,30004.998922348022
109,14513.71,13680,27982,30308.001041412354
110,14911.28,13680,26625,30566.99800491333
111,14226.72,13680,24505,30802.998542785645
112,14143.64,13482,23350,31110.000610351562
113,14715.04,13482,27962,31380.99765777588
114,14234.23,13482,30529,31672.99747467041
115,14109.89,13352,25762,31948.99821281433
116,13961.4,13352,25586,32189.998149871826
117,14408.43,13352,27887,32469.99764442444
118,14254.3,13352,27085,32727.99825668335
119,14091.3,13352,22098,33036.99731826782
120,14375.9,13352,27429,33328.022480010986
121,14725.82,13352,31678,33616.99938774109
122,14580.89,13352,27104,33891.998291015625
123,14157.03,13352,25778,34180.00388145447
124,13990.92,13352,23470,34443.997621536255
125,14022.27,13352,24684,34718.99962425232
126,14680.87,13352,26126,34989.99905586243
127,14426.2,13352,27624,35282.997608184814
128,13941.51,13352,23082,35543.997287750244
129,13938.23,13352,22592,35793.99824142456
130,13950.35,13352,29330,36079.99873161316
131,14084.63,13352,27631,36367.998123168945
132,15072.63,13352,29880,36671.99802398682
133,14211.61,13352,23897,36953.999519348145
134,14199.79,13352,27109,37183.99739265442
135,14652.25,13352,25457,37485.99982261658
136,14084.8,13352,26135,37748.00181388855
137,14219.96,13352,28412,37968.998670578
138,14289.35,13352,29092,38271.99935913086
139,13934.07,13352,31050,38579.99873161316
140,13873.2,13352,25208,38837.99910545349
141,13910.31,13352,21318,39199.0008354187
142,13790.76,13352,22977,39473.99854660034
143,14206.21,13352,26460,39769.00005340576
144,14407.51,13332,24657,40127.99906730652
145,14349.06,13332,24929,40413.999795913696
146,13755.49,13332,24269,40729.00176048279
147,14549.85,13332,33005,41001.99842453003
148,14107.94,13332,23762,41257.999658584595
149,14000.75,13332,29891,41617.99907684326
150,14311.48,13332,26064,42005.998373031616
151,14026.22,13332,23984,42285.99834442139
152,14281.04,13332,26647,42611.00077629089
153,13901.47,13332,22877,42860.9983921051
154,14055.99,13332,21813,43098.99806976318
155,14189.68,13332,27740,43359.99822616577
156,14048.67,13332,23202,43684.001445770264
157,14146.81,13332,22078,43957.99922943115
158,13847.68,13332,26080,44230.00144958496
159,13905.39,13332,28145,44476.999282836914
160,14414.49,13332,22686,44761.99793815613
161,14086.82,13332,27165,45021.99959754944
162,14031.77,13332,24643,45272.99785614014
163,13786.86,13332,21268,45583.99844169617
164,14002.32,13332,22597,45898.99945259094
165,14207.21,13332,32663,46173.999547958374
166,14066.1,13332,23867,46481.02307319641
167,13880.06,13332,29300,46721.02332115173
168,13986.84,13332,22202,47024.999141693115
169,14229.85,13332,28699,47321.99811935425
170,14259.75,13332,26770,47649.9981880188
171,13991.12,13332,27063,47925.99892616272
172,14146.53,13332,28661,48180.99808692932
