gen_no,avg_cost,min_cost,max_cost,time
0,38356.154,26797,50331,51.00059509277344
1,31595.59,24883,44076,5677.978754043579
2,27692.35,22484,39586,11454.977750778198
3,25300.924,21077,37873,17898.975372314453
4,23246.86,20539,35250,24596.006870269775
5,22176.724,18494,32955,30627.978324890137
6,21354.37,17598,35177,37596.487045288086
7,19183.102,17308,31609,45354.48956489563
8,18339.38,17073,35816,53343.95623207092
9,17914.37,16478,34938,59871.954917907715
10,17722.906,15600,37443,66988.53659629822
11,16829.13,15600,30606,73163.53368759155
12,16334.322,15255,28719,80383.53610038757
13,16511.916,15255,36514,86604.55894470215
14,16076.436,15255,35195,93081.56514167786
15,16033.6,14975,32493,99887.53485679626
16,16033.618,14975,33711,106665.54379463196
17,15833.872,14845,31067,114038.5434627533
18,15751.122,14845,29706,120616.53399467468
19,15858.788,14845,36929,127781.0435295105
20,15856.232,14845,35004,134940.04559516907
21,15608.428,14845,35963,141916.06783866882
22,15664.64,14845,32054,148848.04511070251
23,15738.75,14845,35177,157096.5542793274
24,15773.336,14845,30948,164889.11986351013
25,15830.008,14845,33764,172027.62866020203
26,15709.138,14845,33036,179474.6606349945
27,15670.566,14845,35768,186348.66213798523
28,15601.366,14785,30164,193274.6274471283
29,15803.53,14785,33482,200176.65243148804
30,15411.998,14785,33700,206921.13542556763
31,15644.494,14785,34675,213944.10967826843
32,15698.888,14675,32930,220241.13082885742
33,15576.786,14675,34157,227115.10372161865
34,15529.47,14675,33317,234267.10414886475
35,15443.738,14517,32349,241316.10441207886
36,15409.392,14517,29745,248088.116645813
37,15073.046,14357,27996,254177.6156425476
38,15373.47,14357,32677,261319.70357894897
39,15258.056,14357,35770,268325.70457458496
40,15233.502,14357,36447,275224.04623031616
41,15277.94,14357,38532,281551.04637145996
42,15236.276,14357,32651,288338.63639831543
43,15165.174,14357,35123,294973.60944747925
44,15198.22,14007,34792,301218.11842918396
45,15302.85,14007,27722,308655.14874458313
46,14715.0,14007,26865,315613.1193637848
47,14903.734,14007,33730,322969.11811828613
48,15017.45,14007,26749,330268.12195777893
49,14979.824,13950,31643,337588.11807632446
50,14686.424,13950,26385,344512.1200084686
51,14887.982,13950,28537,351724.11823272705
52,14742.226,13950,31600,358048.14529418945
53,14767.888,13950,36361,364587.11767196655
54,14756.6,13950,26904,372368.1185245514
55,14959.42,13950,32934,379209.11979675293
56,15003.138,13950,32617,386500.11801719666
57,14802.514,13950,37138,393805.1190376282
58,14840.638,13950,28015,401294.12031173706
59,14847.894,13950,31224,408466.11976623535
60,14747.408,13770,28321,415977.1182537079
61,14602.55,13770,31035,422870.1181411743
62,14651.314,13770,34427,429571.11835479736
63,14517.248,13770,31093,436320.6286430359
64,14749.246,13770,32536,443201.6291618347
65,14577.212,13770,32090,449858.6287498474
66,14492.62,13770,28600,457437.6292228699
67,14739.172,13770,33206,465095.6280231476
68,14679.416,13770,30929,473256.1888694763
69,14455.542,13770,29233,480771.1431980133
70,14541.894,13770,30436,487486.1443042755
71,14638.552,13770,35481,494314.1441345215
72,14581.492,13770,31992,501241.14441871643
73,14705.936,13770,28716,508592.143535614
74,14473.072,13770,28617,515110.17179489136
75,14653.432,13770,31588,522376.1434555054
76,14419.25,13770,36126,528879.30727005
77,14533.894,13770,30389,536367.3067092896
78,14669.602,13770,31311,543321.3062286377
79,14646.924,13770,29905,550574.3381977081
80,14576.686,13770,35875,558321.3446140289
81,14660.356,13770,29230,565012.3054981232
82,14629.176,13770,34881,572100.8718013763
83,14743.184,13770,35850,578685.8415603638
84,14758.384,13770,40268,586326.3504505157
85,14640.008,13770,32326,593241.3694858551
86,14618.948,13770,29912,600548.353433609
87,14501.842,13770,30614,607888.382434845
88,14618.268,13770,30533,614766.3519382477
89,14821.6,13770,36618,621615.3817176819
90,14635.37,13770,35586,629057.3523044586
91,14666.926,13770,29523,636362.3507022858
92,14603.988,13770,31850,643205.3961753845
93,14682.782,13770,31895,650355.4255962372
94,14650.598,13770,32013,657406.4254760742
95,14441.762,13770,34982,664745.4252243042
96,14625.304,13770,31382,672089.3933773041
97,14659.214,13770,30431,679191.4958953857
98,14603.08,13770,29349,686486.0990047455
99,14686.16,13770,31087,692832.097530365
