gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,12.000083923339844
1,36444.87,27797,43275,260.998010635376
2,33245.29,25651,43098,519.99831199646
3,31523.74,25651,40225,822.9992389678955
4,28818.57,25651,38718,1049.999713897705
5,27676.04,25326,40808,1349.0016460418701
6,27471.26,24221,36740,1664.9994850158691
7,27880.12,24221,39833,1962.998867034912
8,26486.09,24221,33856,2256.999731063843
9,26193.76,24221,39556,2542.9999828338623
10,26335.46,23565,34209,2827.9991149902344
11,26701.58,22931,44483,3215.999126434326
12,26289.73,23630,40848,3473.9999771118164
13,26461.18,23494,43596,3796.001434326172
14,26262.23,21881,37595,4168.999910354614
15,26468.68,21881,43090,4456.998586654663
16,25848.26,21881,38395,4780.001640319824
17,25236.55,21334,40331,5065.004348754883
18,25179.22,21334,37715,5333.998680114746
19,24698.12,21334,35135,5604.998588562012
20,24771.59,19816,32989,5876.9989013671875
21,24833.61,21334,39869,6128.998517990112
22,24693.24,21305,35199,6435.039281845093
23,25333.18,21395,39591,6705.998659133911
24,24684.49,21363,37825,7026.997804641724
25,24868.06,20127,39995,7283.998727798462
26,24509.43,19974,39926,7561.9988441467285
27,23979.7,20084,34689,7872.998952865601
28,24246.77,20084,37557,8111.998796463013
29,24501.52,20674,38353,8409.998178482056
30,24082.89,20349,38052,8692.99864768982
31,23484.13,20084,35406,8986.000299453735
32,24355.22,19896,40791,9437.999963760376
33,23629.78,20349,35432,9691.001176834106
34,23044.38,20349,39253,10045.99905014038
35,23575.08,20164,34782,10387.001276016235
36,23485.95,19967,40475,10636.000633239746
37,22942.97,19594,39552,10921.998262405396
38,23758.72,19594,37959,11186.999082565308
39,23815.09,19594,37558,11432.998895645142
40,23717.8,19884,35483,11729.99882698059
41,23366.43,19884,38048,11998.998165130615
42,23736.81,19764,34115,12251.998901367188
43,23716.51,19764,38250,12537.00041770935
44,23388.39,19586,41221,12820.000410079956
45,23027.6,19367,37649,13107.998847961426
46,23164.19,19903,34529,13446.030139923096
47,22978.7,20006,31792,13714.030027389526
48,23180.41,19537,34797,14070.001602172852
49,22882.57,19537,42948,14378.999471664429
50,23126.55,19537,33111,14659.998416900635
51,22541.82,19537,31410,14948.999881744385
52,23198.09,19617,38002,15233.99806022644
53,22644.8,19396,37615,15489.999055862427
54,22317.04,19396,31700,15752.999305725098
55,22342.68,18861,32851,16018.998861312866
56,22373.26,19096,33469,16304.998874664307
57,23215.06,19096,36930,16586.99870109558
58,23079.85,19906,34517,16823.99845123291
59,23676.89,19070,37679,17158.023834228516
60,22690.97,18701,37268,17390.002250671387
61,21900.66,18076,36384,17657.00054168701
62,21849.21,18076,35909,17994.998455047607
63,22577.8,18196,40899,18266.000032424927
64,22177.39,17533,38227,18617.024898529053
65,22343.73,17533,36591,18851.999044418335
66,21815.54,18076,37436,19108.99806022644
67,21300.74,18076,34042,19452.025175094604
68,21010.17,18076,34437,19698.999404907227
69,21302.41,18076,36862,19929.02970314026
70,20369.36,18076,33127,20228.999376296997
71,20368.29,17533,31085,20481.998682022095
72,20948.91,17533,32227,20832.003831863403
73,21015.89,17430,38132,21130.001068115234
74,21114.84,17533,34240,21398.00000190735
75,21607.73,17533,40726,21658.998727798462
76,21264.95,18059,37643,21911.998510360718
77,20724.0,17533,31951,22161.998748779297
78,20781.61,18059,38495,22458.999633789062
79,21075.85,17950,35428,22729.99930381775
80,20946.23,18076,39610,23032.99832344055
81,20783.75,17533,33073,23317.001342773438
82,21373.81,18076,36053,23637.998819351196
83,20329.5,18076,29085,23928.998708724976
84,20812.41,18076,43024,24196.999311447144
85,20522.4,17533,34153,24432.997941970825
86,20506.08,17906,33633,24732.999086380005
87,19719.49,17906,31189,24976.99809074402
88,20196.54,17906,38129,25226.99809074402
89,20320.03,16820,35871,25498.998880386353
90,20593.99,16820,40416,25784.999132156372
91,20464.43,16820,33143,26081.998825073242
92,20070.04,18076,33570,26350.000858306885
93,21042.04,18076,34534,26621.99831008911
94,20864.71,18076,35268,26957.999229431152
95,20390.46,18076,33665,27205.99865913391
96,21652.07,18076,36581,27536.998987197876
97,20484.59,18076,31296,27823.99845123291
98,21072.32,17776,41392,28076.998233795166
99,21251.67,17238,35226,28356.997966766357
100,21255.04,16888,34276,28629.99987602234
101,20900.54,16888,36023,28890.039920806885
102,20765.97,16888,38425,29219.000101089478
103,19976.16,16888,33625,29453.998804092407
104,19817.47,16888,33009,29681.999683380127
105,20784.5,17128,34795,30019.001245498657
106,21223.51,17393,37968,30341.99833869934
107,21231.3,17393,33388,30635.99920272827
108,21744.64,17393,43035,30891.998767852783
109,20872.56,17393,35901,31144.99855041504
110,21152.48,16888,35450,31461.999654769897
111,20895.72,17393,30018,31756.00004196167
112,20997.47,17393,35273,32099.000692367554
113,20060.47,17393,38073,32390.000581741333
114,19829.63,17168,38113,32629.998445510864
115,19849.45,17168,31838,32899.99866485596
116,20322.4,16798,31276,33137.999057769775
117,20280.27,16798,37567,33423.03919792175
118,19643.44,16888,30797,33658.9994430542
119,20342.72,16888,40424,33958.99963378906
