gen_no,avg_cost,min_cost,max_cost,time
0,38454.6625,27903,45515,10.977745056152344
1,32096.8,26640,38795,191.00022315979004
2,28967.3375,25530,39117,363.0070686340332
3,27343.7375,24700,36780,548.0067729949951
4,26091.3125,20898,38294,734.9793910980225
5,23632.85,20898,30650,930.0057888031006
6,21755.275,20388,33163,1113.9764785766602
7,21618.8125,20388,32821,1371.9754219055176
8,21396.3875,19478,30230,1561.7954730987549
9,20447.525,17873,28067,1734.7543239593506
10,20221.05,17793,37851,1922.7759838104248
11,18719.8375,17793,31521,2095.8099365234375
12,18592.2,17793,27634,2300.7655143737793
13,18884.9125,17793,28455,2460.5093002319336
14,18380.5625,17793,26482,2614.4795417785645
15,19295.525,17793,28587,2827.533483505249
16,19174.775,17793,31932,3019.501209259033
17,18986.6625,17793,28284,3207.531690597534
18,18785.3,17793,31610,3428.5013675689697
19,18842.1625,17793,33669,3587.5003337860107
20,18995.4125,17493,29595,3760.514736175537
21,18689.2875,17493,36002,3957.503318786621
22,18432.6625,17493,26673,4148.501396179199
23,18665.4125,17493,28979,4351.5331745147705
24,18336.55,17493,25640,4518.532752990723
25,18642.9125,17493,26840,4704.525947570801
26,18527.55,17493,34789,4892.50111579895
27,18447.1625,17493,27154,5053.5888671875
28,19100.0125,17493,31813,5235.593318939209
29,18130.5875,17493,26583,5455.561876296997
30,18609.075,17493,30656,5609.596252441406
31,18661.5,17473,29225,5783.586740493774
32,19174.7875,17473,32281,5961.562395095825
33,18396.3875,17473,26801,6182.486295700073
34,18248.175,17473,32247,6350.481748580933
35,18283.3625,16937,27178,6512.455940246582
36,18469.375,16937,29250,6728.4557819366455
37,17871.5625,16937,27531,6888.226270675659
38,17836.5875,16937,26672,7108.226299285889
39,18034.9125,16937,31055,7340.229272842407
40,17638.025,16767,26027,7578.227996826172
41,18372.0375,16767,29833,7791.227102279663
42,17660.5875,16767,25901,7983.22868347168
43,18452.925,16767,31877,8187.22677230835
44,17280.8,16767,24262,8404.227495193481
45,18037.4875,16767,29048,8599.226713180542
46,17769.4375,16767,27300,8787.226438522339
47,17943.3375,16767,34794,9000.226259231567
48,18084.475,16767,28595,9209.226131439209
49,17457.0375,16767,26147,9374.227046966553
50,18310.3,16767,30767,9576.226711273193
51,17897.8625,16727,28979,9794.226169586182
52,18171.575,16727,31474,9989.741086959839
53,17554.175,16727,32789,10170.741319656372
54,17036.5625,16592,23465,10331.74204826355
