gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,22.44877815246582
1,33803.26,27903,39007,115.75651168823242
2,29812.12,26403,37624,198.72713088989258
3,27688.9,25507,31884,282.3805809020996
4,26993.64,24401,34113,396.97265625
5,25371.62,23591,32585,487.0316982269287
6,25028.84,23591,34663,584.8891735076904
7,24516.82,23171,36301,689.5961761474609
8,24896.58,23171,34578,778.8422107696533
9,24167.62,23171,33128,855.2045822143555
10,24125.34,23171,37396,933.2587718963623
11,23933.96,23171,37441,1020.7300186157227
12,24087.52,23141,33259,1131.509780883789
13,24695.12,22591,33608,1248.7866878509521
14,24329.14,22221,37939,1370.7919120788574
15,23427.92,21671,33099,1458.7926864624023
16,22954.98,21449,34958,1584.7909450531006
17,22234.36,20529,30011,1661.7968082427979
18,22482.9,20529,36932,1748.7947940826416
19,21166.96,19093,28673,1832.1471214294434
20,20814.04,18803,28349,1936.6662502288818
21,19638.7,18803,26193,2027.0037651062012
22,19652.98,18803,32665,2115.0033473968506
23,20152.78,18513,32245,2214.054822921753
24,19896.72,18513,33583,2314.406394958496
25,19376.98,18513,27683,2407.0308208465576
26,19552.62,18513,26986,2492.030382156372
27,19221.8,18513,25726,2581.03084564209
28,19632.06,18513,33113,2666.7232513427734
29,19052.4,18486,26333,2751.7621517181396
30,20225.58,18418,40181,2863.5103702545166
31,19519.48,17316,29924,2964.763641357422
32,19102.68,17316,26546,3060.7588291168213
33,18431.44,17316,31564,3143.756628036499
34,19073.52,17316,31876,3269.1943645477295
35,18523.24,17316,28598,3351.306915283203
36,18346.8,17316,28481,3430.9587478637695
37,18415.04,17048,27351,3516.9594287872314
38,17941.76,17048,27860,3610.483169555664
39,18119.22,16968,26928,3699.483871459961
40,18182.06,16968,29988,3811.483144760132
41,17484.5,16968,22490,3901.237964630127
42,17303.3,16968,22197,3989.2380237579346
43,18311.12,16648,37958,4080.291509628296
44,18084.94,16648,26548,4161.788463592529
45,17986.38,16648,27868,4245.547294616699
46,17616.88,16648,26358,4326.5540599823
47,17408.94,16648,28440,4429.545640945435
48,17816.64,16145,33078,4543.581008911133
49,17491.3,16145,26596,4626.582860946655
50,18037.08,16145,31381,4728.2774448394775
51,16545.94,16145,26180,4812.653303146362
52,17664.32,16145,43758,4894.847869873047
53,16625.46,15667,28751,4979.1882038116455
54,17597.5,15667,30700,5067.183256149292
55,17292.14,15667,29005,5161.1833572387695
56,17657.96,15667,32831,5245.60284614563
57,16690.18,15667,29185,5359.01665687561
58,16571.6,15667,28457,5452.98433303833
59,16336.84,15667,27224,5539.984226226807
60,16774.32,15667,25857,5627.567768096924
61,16618.16,15667,23106,5693.2244300842285
62,16981.26,15667,25962,5778.272867202759
63,16786.24,15667,26177,5876.288652420044
64,17058.4,15667,35051,5977.437257766724
65,17101.2,15667,28714,6092.677354812622
66,16544.6,15250,25843,6190.392732620239
67,17405.44,15250,28833,6280.278205871582
68,15981.46,15250,25412,6373.63076210022
69,15768.96,15250,26515,6448.630809783936
70,17150.68,15250,35210,6529.1478633880615
71,16516.62,15250,28452,6607.180595397949
72,16898.22,15250,27654,6703.691720962524
73,16779.26,15250,27289,6825.803995132446
74,16856.68,15250,30084,6906.842231750488
75,16916.3,15250,38787,6986.842393875122
76,16383.8,15250,26022,7076.8420696258545
77,16169.18,15250,28549,7160.484075546265
78,16086.56,15250,29723,7236.141681671143
79,17117.5,15250,32071,7328.163862228394
80,15850.76,15250,23225,7409.307479858398
81,17916.74,15250,36170,7559.1881275177
82,16226.66,15250,29610,7643.042802810669
83,16316.38,15193,29050,7742.293834686279
84,16401.82,15193,25440,7847.985029220581
85,15763.16,15193,20409,7941.652297973633
86,16877.66,15193,40073,8040.932893753052
87,15890.96,15193,24988,8126.596689224243
88,16692.7,15193,26906,8226.482629776001
89,16018.2,15023,26038,8357.800722122192
90,16510.04,14755,35736,8461.740970611572
91,16097.7,14755,25802,8549.742698669434
92,16156.46,14755,26005,8640.422582626343
93,15843.88,14755,27860,8730.449438095093
94,16025.3,14755,27635,8818.351030349731
95,15406.92,14755,26315,8891.440391540527
96,16178.74,14755,27712,8987.356424331665
97,16100.88,14755,29651,9105.65161705017
98,16125.24,14755,24375,9192.293643951416
99,15652.92,14475,23381,9291.965961456299
