gen_no,avg_cost,min_cost,max_cost,time
0,7771.0,5373,11268,10.000228881835938
1,7286.71,5413,9802,140.0291919708252
2,6716.35,5402,9416,286.0291004180908
3,6264.64,5413,10199,442.0297145843506
4,6397.2,5402,9825,593.7185287475586
5,6198.82,5335,9031,739.7255897521973
6,6053.35,5335,9203,918.7026023864746
7,6078.51,5335,8136,1053.724765777588
8,6059.18,5020,8964,1226.696252822876
9,6109.24,5020,8861,1439.7192001342773
10,6184.28,5020,9143,1593.7261581420898
11,5985.74,5020,8477,1747.694492340088
12,5648.35,4862,8393,1883.6948871612549
13,5631.73,4862,8075,2058.7260723114014
14,5580.82,4862,8212,2209.6962928771973
15,5544.17,4862,7926,2344.726800918579
16,5589.72,4862,8397,2514.725923538208
17,5458.05,4862,8023,2661.726713180542
18,5683.3,4862,8456,2812.7188682556152
19,5470.21,4862,9650,2981.7264080047607
20,5406.2,4862,8398,3132.718801498413
21,5342.27,4862,8594,3258.725643157959
22,5269.08,4862,8076,3448.719024658203
23,5166.97,4862,7807,3605.7257652282715
24,5024.48,4862,7669,3739.694356918335
25,4982.51,4862,6085,3886.6946697235107
26,5014.37,4862,8558,4051.694631576538
27,4904.75,4862,6241,4208.728551864624
28,4887.52,4862,5364,4358.718395233154
29,4923.22,4862,6264,4508.270740509033
30,4916.46,4862,7907,4654.627323150635
31,4948.03,4862,8026,4802.633762359619
32,4920.01,4862,7907,4935.633897781372
33,4910.32,4862,8026,5086.634159088135
34,4982.86,4862,7922,5278.602600097656
35,4884.88,4862,6330,5438.6279582977295
36,4898.52,4862,6448,5556.6346645355225
37,4913.88,4862,7294,5740.636587142944
38,4918.37,4862,6982,5884.6025466918945
39,4980.74,4862,8819,6034.6057415008545
40,4946.17,4862,7129,6160.633325576782
41,4935.83,4862,7807,6345.602035522461
42,4873.72,4862,5614,6504.634141921997
43,4896.32,4862,6608,6628.633975982666
44,4952.06,4862,8026,6848.602771759033
45,4884.7,4862,6788,6988.627195358276
46,4932.76,4862,7294,7123.633146286011
47,4937.24,4862,8558,7300.633907318115
48,4884.65,4862,6478,7436.633825302124
49,4875.02,4862,6164,7560.634613037109
50,4889.56,4862,7132,7731.63628578186
51,4866.1,4862,5272,7870.601654052734
52,4900.94,4862,6448,8017.634868621826
53,4883.8,4862,6632,8194.634199142456
54,4917.29,4862,8031,8347.633600234985
55,4876.18,4862,6204,8505.634069442749
56,4922.1,4862,7907,8674.633502960205
57,4876.77,4862,5614,8806.634426116943
58,4869.01,4862,5219,8949.603080749512
59,4909.6,4862,8558,9101.602554321289
60,4892.17,4862,6238,9241.602659225464
61,4878.92,4862,6396,9379.63604927063
62,4941.35,4862,9393,9544.641971588135
63,4963.99,4862,8558,9692.627429962158
64,4896.68,4862,7132,9861.633777618408
65,4898.88,4862,6396,10023.626804351807
66,4945.01,4862,8026,10175.604820251465
67,4913.81,4862,7132,10330.633401870728
68,4905.1,4862,6448,10516.602516174316
69,4862.76,4862,4938,10640.380382537842
70,4878.16,4862,6478,10778.380632400513
71,4904.6,4862,6478,10921.349287033081
72,4956.27,4862,7807,11108.348608016968
73,4957.04,4862,8558,11268.348932266235
74,4947.6,4862,8558,11438.38381767273
75,4946.36,4862,8026,11587.382793426514
76,4907.4,4862,8026,11722.38039970398
77,4896.02,4862,7907,11893.383026123047
78,4891.1,4862,6396,12043.380737304688
79,4943.2,4862,8558,12200.3812789917
80,4883.02,4862,6478,12379.37331199646
81,4867.34,4862,5396,12553.380966186523
82,4903.53,4862,6632,12703.280925750732
83,4865.57,4862,5219,12889.281034469604
84,4880.49,4862,6040,13037.3055934906
85,4918.17,4862,7630,13181.282997131348
86,4920.71,4862,8026,13353.312015533447
87,4906.65,4862,7294,13508.311748504639
88,4877.86,4862,6448,13648.32067489624
89,4872.85,4862,5396,13814.280986785889
90,4934.92,4862,7034,13954.314708709717
91,4888.5,4862,6264,14092.31972694397
92,4863.58,4862,5020,14233.30545425415
93,4916.44,4862,6478,14412.312030792236
94,4910.18,4862,5614,14561.312675476074
95,4927.16,4862,8013,14712.500810623169
96,4862.76,4862,4938,14856.499195098877
97,4914.15,4862,8558,15018.531322479248
98,4893.52,4862,6330,15166.531562805176
99,4912.39,4862,6758,15304.524660110474
