gen_no,avg_cost,min_cost,max_cost,time
0,7771.0,5373,11268,8.969306945800781
1,6081.1,5373,9241,175.00042915344238
2,5414.29,5266,7603,334.2711925506592
3,5392.75,5222,8056,527.292013168335
4,5280.18,5219,6377,724.2934703826904
5,5301.74,5219,7682,885.3268623352051
6,5263.75,4862,6621,1088.324785232544
7,5208.94,4862,7390,1261.3248825073242
8,5069.88,4862,8273,1468.2939052581787
9,4969.39,4862,8558,1646.324634552002
10,4917.47,4862,8026,1852.2939682006836
11,4927.86,4862,6822,2100.292921066284
12,4993.09,4862,7907,2299.2937564849854
13,4874.47,4862,5951,2451.2929916381836
14,4992.36,4862,8502,2743.2942390441895
15,4895.36,4862,6822,2919.2934036254883
16,4996.7,4862,8968,3160.2938175201416
17,4943.01,4862,6822,3361.3100051879883
18,4992.64,4862,7807,3563.2951259613037
19,4966.77,4862,7807,3798.3040809631348
20,4961.05,4862,7244,3971.3172912597656
21,5010.11,4862,7807,4182.293653488159
22,4923.74,4862,6632,4346.29225730896
23,4914.87,4862,6396,4515.324115753174
24,4946.57,4862,7807,4694.293737411499
25,4958.89,4862,7137,4844.308614730835
26,4887.85,4862,6396,5018.932580947876
27,4889.27,4862,6330,5225.86464881897
28,4973.9,4862,7838,5407.8662395477295
29,5010.38,4862,8026,5619.832277297974
30,4994.2,4862,8026,5827.8326988220215
31,4945.57,4862,7294,6004.865407943726
32,4916.7,4862,7807,6204.864263534546
33,4923.24,4862,6332,6379.847764968872
34,4986.27,4862,7813,6596.834421157837
35,4892.68,4862,6396,6821.864366531372
36,4912.08,4862,6478,7005.86462020874
37,4930.19,4862,7294,7233.445644378662
38,4909.92,4862,8558,7568.441867828369
39,5018.05,4862,8026,7779.443740844727
40,4929.55,4862,6822,8020.467281341553
41,4954.88,4862,8558,8200.47402381897
42,4949.97,4862,7184,8401.443719863892
43,4928.13,4862,8558,8638.476371765137
44,5001.87,4862,8558,8824.444055557251
45,4961.0,4862,6788,8990.443706512451
46,4936.07,4862,6822,9232.443571090698
47,4925.22,4862,7132,9441.443681716919
48,5065.47,4862,8558,9647.442102432251
49,4959.33,4862,8026,9855.443477630615
50,4896.28,4862,6822,10023.44274520874
51,4892.5,4862,6632,10204.473733901978
52,4977.25,4862,8026,10398.177146911621
53,4933.52,4862,8558,10560.206890106201
54,4963.24,4862,7807,10747.1764087677
55,4884.89,4862,6040,10892.207145690918
56,4943.19,4862,8026,11054.175853729248
57,4969.63,4862,7807,11262.60232925415
58,4882.84,4862,6040,11432.444095611572
59,4958.22,4862,8026,11628.99374961853
60,4984.12,4862,7807,11791.648149490356
61,4973.68,4862,7907,11963.654279708862
62,4961.3,4862,7807,12158.654928207397
63,4926.6,4862,7860,12305.654525756836
64,4945.25,4862,8558,12451.654434204102
65,4891.15,4862,6238,12638.653993606567
66,4899.67,4862,6448,12793.623685836792
67,4950.41,4862,8134,12968.65439414978
68,4905.38,4862,7132,13124.655723571777
69,4999.98,4862,7807,13281.64792060852
70,5073.56,4862,8558,13460.64805984497
71,4885.53,4862,6448,13623.658180236816
72,4972.48,4862,7294,13777.576446533203
73,5001.36,4862,8558,13963.575601577759
74,4930.15,4862,7294,14148.550510406494
75,4927.1,4862,7132,14326.585292816162
76,4899.46,4862,6238,14496.582984924316
77,4958.68,4862,7148,14664.583206176758
78,4894.67,4862,6788,14850.2779006958
79,4903.78,4862,8288,14992.3095703125
80,5019.39,4862,8819,15167.309284210205
81,4933.05,4862,8026,15343.278169631958
82,4970.66,4862,7807,15497.302532196045
83,4916.71,4862,7294,15662.309408187866
84,4955.05,4862,7303,15854.30908203125
85,4961.84,4862,7807,16013.280391693115
86,4980.33,4862,8090,16351.279258728027
87,4970.19,4862,8026,16589.279651641846
88,4885.59,4862,6110,16734.309196472168
89,5002.11,4862,7907,16948.310136795044
90,4901.25,4862,6448,17104.30335998535
91,4956.41,4862,8558,17283.310651779175
92,4904.5,4862,6478,17466.49718284607
93,4983.51,4862,8558,17632.47323036194
94,4982.26,4862,7807,17799.0460395813
95,4948.27,4862,8026,18007.632732391357
96,4968.28,4862,8134,18201.626777648926
97,4908.32,4862,7294,18391.633987426758
98,4924.65,4862,7807,18555.20796775818
99,4933.02,4862,7294,18705.169677734375
