gen_no,avg_cost,min_cost,max_cost,time
0,7771.0,5373,11268,12.020349502563477
1,6598.68,5335,10220,265.0017738342285
2,5897.1,5335,9203,439.0401840209961
3,5677.03,5225,8085,663.032054901123
4,5386.2,5225,7025,881.0350894927979
5,5318.57,5225,8194,1104.00390625
6,5437.8,5225,9325,1319.0011978149414
7,5331.11,5225,7291,1585.768461227417
8,5376.49,5225,8194,1801.7995357513428
9,5404.27,5225,9439,2025.792121887207
10,5366.48,5119,7789,2210.7913494110107
11,5372.16,5119,8148,2444.7922706604004
12,5186.11,5112,7277,2637.7665996551514
13,5267.37,5032,7481,2838.8047218322754
14,5163.33,5032,8002,3076.7946243286133
15,5225.5,4818,9162,3291.135311126709
16,5117.35,4818,7622,3511.1889839172363
17,4980.77,4818,8135,3719.1576957702637
18,5163.63,4818,8135,3954.1571140289307
19,4929.85,4818,8135,4157.188653945923
20,5023.71,4818,9438,4391.157388687134
21,4959.99,4818,7622,4590.01612663269
22,5138.79,4818,9043,4828.009605407715
23,4978.58,4818,8275,5052.007675170898
24,5010.82,4818,8650,5284.985065460205
25,5016.61,4818,7404,5460.0770473480225
26,5009.19,4818,8516,5657.06992149353
27,4968.41,4818,7308,5884.038209915161
28,4992.28,4818,8135,6071.038246154785
29,4954.28,4818,7196,6285.0635051727295
30,5034.0,4818,9632,6476.069211959839
31,4962.63,4818,8565,6691.069602966309
32,4904.65,4818,7240,6871.038198471069
33,5047.04,4818,8135,7134.039878845215
34,5019.68,4818,8331,7377.037763595581
35,5069.21,4818,9458,7589.038133621216
36,4903.79,4818,7478,7879.039287567139
37,4939.78,4818,7254,8116.039276123047
38,5028.34,4818,8516,8366.058349609375
39,5071.45,4818,7556,8603.042602539062
40,4961.27,4818,7240,8871.037244796753
41,4904.48,4818,6004,9047.040462493896
42,5029.81,4818,8378,9326.038599014282
43,4925.83,4818,8362,9619.03977394104
44,4960.35,4818,7210,9891.049146652222
45,4999.99,4818,8135,10161.038160324097
46,5016.54,4818,9095,10380.070924758911
47,5081.19,4818,8516,10640.04135131836
48,4992.93,4818,7387,10903.03921699524
49,5023.86,4818,8136,11194.046258926392
50,4881.71,4818,7052,11424.069881439209
51,4916.81,4818,7901,11657.0405960083
52,4951.91,4818,7492,11908.038139343262
53,4976.28,4818,8188,12165.037393569946
54,4943.57,4818,8135,12407.040119171143
55,5031.92,4818,8516,12650.03752708435
56,5100.68,4818,8516,12864.078283309937
57,4919.92,4818,7387,13061.062097549438
58,5001.67,4818,8516,13312.03818321228
59,5047.84,4818,8009,13534.03925895691
60,5047.67,4818,8135,13831.063270568848
61,4975.82,4818,9621,13992.03872680664
62,4931.62,4818,6950,14211.037158966064
63,5026.33,4818,8135,14401.039361953735
64,5068.36,4818,7387,14610.038042068481
65,5043.09,4818,7196,14888.038158416748
66,4942.29,4818,7240,15085.072755813599
67,4918.6,4818,7196,15305.039167404175
68,4876.94,4818,7180,15550.063133239746
69,4993.91,4818,8516,15794.039011001587
70,4892.42,4818,7196,16016.037702560425
71,4989.48,4818,9273,16236.070156097412
72,5027.3,4818,8135,16478.039979934692
73,4978.14,4818,7531,16765.038013458252
74,4967.97,4818,8331,16976.038217544556
75,4957.85,4818,7929,17163.07020187378
76,4900.5,4818,7210,17437.047481536865
77,4915.41,4818,7387,17672.03950881958
78,4884.14,4818,6758,17932.04140663147
79,4998.75,4818,8135,18169.039011001587
80,5011.07,4818,8516,18410.0399017334
81,5079.24,4818,9433,18662.075757980347
82,5089.97,4818,8516,18906.10432624817
83,4893.04,4818,7240,19131.135940551758
84,5050.92,4818,8516,19402.4395942688
85,4915.96,4818,7610,19627.44116783142
86,4955.75,4818,7254,19886.43717765808
87,5005.13,4818,8135,20069.468021392822
88,4999.07,4818,8135,20294.32439804077
89,4982.73,4818,7390,20511.35540008545
90,4930.14,4818,7387,20757.326364517212
91,4960.44,4818,8516,21002.326011657715
92,5108.58,4818,8516,21242.32506752014
93,4979.46,4818,8135,21470.325469970703
94,4995.24,4818,7387,21671.324729919434
95,5016.03,4818,8516,21863.324403762817
96,4937.08,4818,7387,22109.323978424072
97,5068.7,4818,9433,22335.323333740234
98,4978.93,4818,10118,22579.34880256653
99,5088.37,4818,8516,22786.33141517639
