gen_no,avg_cost,min_cost,max_cost,time
0,24228.85,13810,28945,17.998695373535156
1,18871.7,13810,28095,198.99964332580566
2,14202.5,13340,20990,348.9990234375
3,13880.55,13340,20525,547.0242500305176
4,13723.7,13340,23310,718.0414199829102
5,13512.95,12765,20790,882.0242881774902
6,13425.25,12765,24905,1093.000888824463
7,13181.8,12765,24665,1306.0009479522705
8,13154.9,12765,21715,1545.0000762939453
9,13420.1,12680,23835,1733.9997291564941
10,13184.65,12680,26350,1916.038990020752
11,13215.6,12090,23510,2093.0159091949463
12,12832.55,12090,23160,2281.0237407684326
13,12430.0,12090,19120,2458.9996337890625
14,12289.7,12090,19120,2641.000509262085
15,12274.8,12090,18130,2824.045181274414
16,12272.5,12090,19120,2972.9995727539062
17,12456.5,12090,22565,3178.0238151550293
18,12443.35,12090,23160,3355.039596557617
19,12332.15,12090,18785,3568.023443222046
20,12339.3,12090,23610,3742.0389652252197
21,12429.75,12090,22010,3913.0263328552246
22,12393.7,12090,20560,4108.037948608398
23,12319.9,12090,18300,4281.024694442749
24,12374.75,12090,19200,4469.038009643555
25,12596.3,12090,21590,4716.000080108643
26,12301.5,12090,19420,4892.023801803589
27,12284.3,12090,21060,5089.999437332153
28,12323.55,12090,21260,5253.009557723999
29,12603.45,12090,21980,5398.999452590942
30,12400.7,12090,20560,5613.999128341675
31,12430.8,12090,21210,5792.0241355896
32,12196.75,12090,16210,5966.999292373657
33,12303.4,12090,21250,6170.998811721802
34,12516.15,12090,20510,6335.999250411987
35,12433.0,12090,24950,6511.023759841919
36,12657.65,12090,23160,6724.99942779541
37,12476.35,12090,23160,6902.999401092529
38,12481.8,12090,20560,7116.023063659668
39,12322.3,12090,20680,7281.560659408569
40,12260.55,12090,20035,7419.584512710571
41,12470.8,12090,24570,7652.5609493255615
42,12494.5,12000,20490,7835.560321807861
43,12383.5,12000,19360,7999.599456787109
44,12324.1,12000,20290,8217.560291290283
45,12531.4,12000,24115,8413.58494758606
46,12590.0,12000,24490,8657.58466720581
47,12257.4,11640,17400,8831.560373306274
48,12119.9,11640,19425,9046.584606170654
49,12314.75,11640,22500,9269.56057548523
50,11858.55,11640,17860,9467.58508682251
51,11828.9,11640,21530,9671.590328216553
52,12090.45,11415,22500,9857.599973678589
53,11847.55,11415,19735,10045.599222183228
54,11712.4,11415,21815,10245.585441589355
55,11698.15,11415,17405,10377.58493423462
56,11486.2,11415,14960,10550.562381744385
57,11720.45,11415,21825,10758.58473777771
58,11695.7,11415,19305,10905.585289001465
59,11840.75,11415,24465,11151.563167572021
60,12078.75,11415,23375,11355.561256408691
61,11423.65,11415,11940,11541.561841964722
62,11617.45,11415,17185,11742.585897445679
63,11981.25,11415,24600,12008.5608959198
64,11760.0,11415,18245,12221.561670303345
65,11898.45,11415,19495,12447.561502456665
66,11642.25,11415,22530,12652.560472488403
67,11697.75,11415,21295,12824.559926986694
68,12038.2,11415,22245,13069.566011428833
69,11744.55,11415,20450,13264.560222625732
70,11830.5,11415,19730,13440.560340881348
71,11865.35,11415,21265,13659.559965133667
72,11749.1,11415,19455,13839.560747146606
73,11736.2,11415,21265,14033.584594726562
74,11679.25,11415,21265,14243.5622215271
75,11601.6,11415,19775,14411.560535430908
76,11535.1,11415,17395,14645.562171936035
77,11850.45,11415,20175,14841.56060218811
78,11611.75,11415,19875,15034.559965133667
79,11834.15,11415,19990,15353.563070297241
80,11785.9,11415,21265,15627.562284469604
81,11729.95,11415,19305,15830.56092262268
82,11792.15,11415,18410,16048.584699630737
83,11850.15,11415,19415,16234.560251235962
84,11585.35,11415,16080,16471.588134765625
85,11637.85,11415,18480,16650.559663772583
86,11517.8,11415,15935,16829.56027984619
87,11636.9,11415,19405,17010.587215423584
88,11930.4,11415,20935,17180.561065673828
89,11617.2,11415,20655,17370.561361312866
90,11539.95,11415,20705,17556.56147003174
91,11651.2,11415,18425,17724.5614528656
92,12009.1,11415,21745,17888.5600566864
93,12320.15,11415,26725,18145.559787750244
94,11552.8,11415,17465,18339.561223983765
95,12046.95,11415,22275,18532.559633255005
96,11678.7,11415,20935,18727.584838867188
97,11879.1,11415,25665,18900.559902191162
98,11757.2,11415,21815,19115.56363105774
99,11639.5,11415,20935,19361.563444137573
