gen_no,avg_cost,min_cost,max_cost,time
0,24331.925,13810,30865,16.001462936401367
1,18207.575,13810,27890,611.9983196258545
2,13872.1,13535,19180,1216.905117034912
3,13816.925,13320,21560,1907.8998565673828
4,13787.45,13320,25575,2490.9071922302246
5,13647.875,13290,22415,3173.907518386841
6,13566.65,13290,23160,3839.9064540863037
7,13613.275,13115,22850,4489.875793457031
8,13676.975,13115,28005,5227.9064655303955
9,13370.475,13115,22165,5910.876035690308
10,13617.3,13115,28325,6602.874755859375
11,13209.025,12885,23555,7326.907396316528
12,13250.45,12585,21180,8034.057855606079
13,12957.775,12585,20830,8739.110946655273
14,12912.125,12415,21835,9462.661743164062
15,12944.475,12415,22485,10120.69034576416
16,12721.85,12415,21545,10745.658159255981
17,12844.525,12415,22260,11465.689897537231
18,12655.9,12415,22485,12106.69207572937
19,12744.175,12415,22925,12758.6829662323
20,12622.775,12280,21185,13375.659942626953
21,12581.875,12280,20865,14005.683898925781
22,12645.4,12280,21020,14704.689979553223
23,12602.475,12280,22475,15370.725393295288
24,12799.3,12280,23830,16094.731569290161
25,12671.3,12280,22590,16852.731943130493
26,12396.95,12280,18190,17541.733264923096
27,12550.475,12280,22590,18244.731903076172
28,12646.475,12280,22590,19011.725664138794
29,12503.125,12280,21020,19686.731815338135
30,12588.75,12280,21020,20413.700103759766
31,12656.225,12280,22590,21068.732023239136
32,12552.25,12280,22460,21719.701766967773
33,12659.925,12280,29785,22436.70082092285
34,12746.075,12280,26080,23140.300273895264
35,12728.475,12280,22890,23879.275798797607
36,12628.025,12280,20150,24600.308656692505
37,12633.675,12280,21020,25305.315256118774
38,12664.025,12280,23150,26019.307374954224
39,12780.7,12280,24980,26778.30719947815
40,12756.1,12280,22650,27513.30804824829
41,12678.0,12280,23350,28210.299968719482
42,12636.8,12280,21420,28931.89263343811
43,12551.75,12280,21020,29635.897874832153
44,12418.8,12280,18140,30331.892490386963
45,12580.975,12280,22590,31075.867891311646
46,12497.4,12280,20150,31987.86973953247
47,12689.825,12280,25865,32782.8688621521
48,12661.1,12280,22275,33518.89944076538
49,12747.425,12280,25275,34256.906509399414
50,12737.175,12280,21450,35084.89274978638
51,12482.725,12280,21495,35722.86796569824
52,12545.7,12280,22920,36372.89905548096
53,12644.55,12280,22475,37196.871280670166
54,12757.125,12280,21420,37917.87075996399
55,12779.55,12280,22475,38705.86943626404
56,12484.55,12280,18925,39459.89966392517
57,12587.3,12280,22590,40262.87007331848
58,12537.1,12280,27540,40960.869789123535
59,12647.775,12280,21420,41763.89956474304
60,12596.85,12280,21650,42547.71900177002
61,12436.225,12280,21020,43353.75142097473
62,12557.95,12280,22370,44136.71851158142
63,12560.85,12280,25805,44910.74252128601
64,12644.15,12280,22590,45734.7207069397
65,12501.725,12280,23020,46616.72043800354
66,12622.55,12280,21420,47502.71916389465
67,12563.3,12280,22590,48338.71912956238
68,12566.6,12280,26180,49137.71986961365
69,12506.075,12280,22475,49955.71947097778
70,12574.825,12280,22590,50653.71894836426
71,12534.8,12280,20815,51352.940797805786
72,12640.925,12280,27420,52197.95370101929
73,12628.025,12280,22590,53004.93407249451
74,12594.9,12280,22590,53831.94065093994
75,12637.85,12280,24410,54629.67348098755
76,12795.85,12280,24325,55463.70339393616
77,12594.875,12280,22590,56225.70562362671
78,12563.1,12280,20170,56999.67432022095
79,12568.1,12280,27075,57786.704540252686
80,12706.1,12280,23220,58496.67310714722
81,12727.1,12280,22475,59234.20238494873
82,12744.45,12280,23515,60018.200159072876
83,12535.725,12280,21420,60956.20036125183
84,12814.3,12280,23740,61757.200479507446
85,12665.475,12280,21920,62669.225215911865
86,12431.475,12280,19880,63405.20191192627
87,12585.8,12280,22405,64132.206201553345
88,12610.05,12280,21425,64829.232692718506
89,12604.65,12280,24335,65496.225357055664
90,12551.875,12280,22590,66156.2008857727
91,12690.125,12280,22590,66976.94373130798
92,12746.825,12280,22660,67654.97422218323
93,12576.375,12280,22060,68346.45891189575
94,12480.375,12280,20635,69197.45874404907
95,12556.725,12280,20000,70015.4926776886
96,12647.925,12280,22475,70887.46213912964
97,12596.5,12280,26490,71747.45845794678
98,12477.2,12280,21420,72631.4902305603
99,12699.35,12280,22590,73394.4628238678
