gen_no,avg_cost,min_cost,max_cost,time
0,24228.85,13810,28945,10.000944137573242
1,22276.5,13815,26415,191.0254955291748
2,20021.65,13815,28725,387.9992961883545
3,19132.9,13815,27590,588.0393981933594
4,17705.55,13815,24750,791.0003662109375
5,16234.55,12365,23555,967.0240879058838
6,15153.3,12365,23435,1199.0010738372803
7,14955.7,12365,21640,1418.999195098877
8,14700.3,12365,25625,1620.0265884399414
9,14393.2,11695,18960,1816.0266876220703
10,14047.05,11695,23065,1981.9986820220947
11,13761.5,11365,21230,2190.000295639038
12,13583.55,11365,19295,2389.9986743927
13,13970.0,11655,25785,2605.001211166382
14,13814.45,11365,22005,2830.9993743896484
15,13354.5,11365,20910,3014.9991512298584
16,13131.75,11605,19805,3215.999126434326
17,13318.6,11365,22205,3443.0007934570312
18,13347.7,11365,26040,3632.0016384124756
19,13248.85,11365,24015,3834.9990844726562
20,13208.4,11365,24725,4021.998643875122
21,13118.25,11365,22360,4208.999872207642
22,12920.95,11365,21165,4445.999383926392
23,12763.05,11275,25945,4646.024227142334
24,12683.7,11275,23120,4815.000295639038
25,12319.4,11365,21915,5033.99920463562
26,12451.15,11275,21685,5228.001117706299
27,12394.65,11295,21685,5419.023513793945
28,12285.55,11295,21480,5607.0239543914795
29,12348.25,11295,21155,5788.034677505493
30,12442.3,11295,23675,6015.023708343506
31,12282.5,11295,20820,6189.000844955444
32,12346.75,11295,21970,6406.030654907227
33,12334.05,11295,17105,6612.024307250977
34,12755.0,11295,20720,6796.999216079712
35,12363.35,11275,21685,6964.999437332153
36,12286.2,11205,17435,7215.998649597168
37,12412.15,11205,22555,7396.024227142334
38,12493.5,11205,22820,7567.999601364136
39,12750.25,11205,23035,7787.02449798584
40,12351.45,11205,18805,7969.023942947388
41,12429.2,11205,23595,8155.999183654785
42,12338.7,11205,23060,8390.024185180664
43,12183.45,11295,19855,8580.039262771606
44,12188.9,11295,20575,8777.023553848267
45,12384.9,11295,23135,8975.024223327637
46,12337.55,11295,20315,9170.024156570435
47,12372.95,11295,21140,9391.000747680664
48,12145.1,11295,17165,9589.024066925049
49,12382.15,11295,18710,9820.000171661377
50,12530.25,11295,23305,9985.99910736084
51,12593.2,11295,23825,10174.024820327759
52,12516.1,11295,23720,10407.024145126343
53,12432.8,11295,22925,10591.999053955078
54,12457.7,11295,19775,10761.999130249023
55,12329.7,11295,19775,10966.99857711792
56,12335.9,11295,23845,11172.001123428345
57,12688.6,11275,23415,11366.999864578247
58,12480.35,11295,20560,11570.02305984497
59,12349.7,11295,23285,11752.03800201416
60,12096.4,11295,15915,11928.02381515503
61,12374.5,11295,23535,12135.03909111023
62,12223.25,11295,23040,12326.998472213745
63,12378.75,11295,22725,12535.999536514282
64,12045.2,11295,19950,12711.99917793274
65,11905.05,11205,20360,12877.002239227295
66,12288.95,11205,23440,13080.024719238281
67,12132.9,11205,24265,13261.999130249023
68,12020.9,11205,22650,13438.99941444397
69,12180.45,11205,24875,13660.514831542969
70,11963.65,11205,22555,13853.507041931152
71,12022.75,11295,25685,14046.506643295288
72,12138.55,11295,23440,14279.506921768188
73,12040.45,11275,22520,14468.50609779358
74,12103.75,11275,23260,14673.506498336792
75,12286.1,11205,23355,14879.50611114502
76,12422.9,11205,22555,15053.508043289185
77,12359.05,11205,23335,15285.066604614258
78,12282.6,11295,22090,15471.099138259888
79,12137.9,11295,20235,15670.089960098267
80,12316.55,11295,22080,15882.09056854248
81,12272.75,11295,26055,16082.067489624023
82,12190.85,11295,29515,16318.06755065918
83,12122.85,11295,22700,16480.066537857056
84,12124.75,11295,21245,16747.065544128418
85,12064.25,11295,21485,16994.06671524048
86,12160.1,11295,22205,17187.066555023193
87,11889.8,11295,22395,17402.065753936768
88,11962.5,11295,19445,17622.066736221313
89,11788.0,11295,18655,17814.064979553223
90,11968.9,11295,21685,17985.065698623657
91,11928.3,11295,18885,18199.06520843506
92,12409.5,11295,22830,18402.10461616516
93,12205.3,11275,22885,18602.067232131958
94,12026.4,11275,23305,18888.066291809082
95,12142.55,11275,23305,19096.06623649597
96,12376.45,11295,22185,19314.067125320435
97,12444.75,11295,23365,19507.097721099854
98,12114.1,11275,27155,19715.070247650146
99,12017.55,11295,25525,19913.065433502197
