gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,14.003515243530273
1,33305.59,25617,40986,242.9976463317871
2,28590.08,25617,39566,496.9973564147949
3,26202.75,24329,35029,754.9974918365479
4,25871.38,24062,40016,1016.0224437713623
5,24607.0,22956,33463,1283.9982509613037
6,23965.68,22394,36979,1622.02787399292
7,23258.99,22031,31997,1862.0283603668213
8,23105.4,21791,34394,2143.996477127075
9,22810.32,21791,33131,2409.0278148651123
10,22442.64,21791,34219,2660.3245735168457
11,22254.82,21791,32198,2947.3562240600586
12,22235.94,21513,29686,3214.3490314483643
13,21933.89,21513,29019,3467.3562049865723
14,21667.29,21513,26541,3686.356544494629
15,22251.88,20033,33561,3931.1399459838867
16,21406.33,20033,26767,4203.1614780426025
17,21172.29,19348,34510,4483.192682266235
18,20358.73,19348,30418,4706.1927318573
19,20106.82,18986,32545,4984.161615371704
20,19845.55,18986,27494,5206.1920166015625
21,19775.42,18986,30825,5483.16216468811
22,19877.81,18986,29944,5739.193439483643
23,19466.11,18986,27999,5986.192941665649
24,19583.79,18986,26728,6254.162311553955
25,19653.03,18476,31350,6522.195339202881
26,19590.18,18476,32156,6769.161939620972
27,18745.29,18316,24186,6997.446298599243
28,19093.65,18316,26756,7231.475591659546
29,18800.66,18316,26759,7455.443620681763
30,18929.34,18316,26976,7748.4776973724365
31,19052.34,18316,29502,7950.474739074707
32,19290.27,18316,31166,8237.442970275879
33,18909.26,18316,28981,8484.44414138794
34,19279.2,18316,31661,8737.443447113037
35,18874.3,18316,33217,8998.396396636963
36,18799.54,18316,30466,9254.420518875122
37,19153.14,18316,26901,9503.396987915039
38,19015.35,17671,28671,9777.398824691772
39,18925.53,17401,26936,10027.42075920105
40,18421.85,17401,28730,10305.395364761353
41,18547.74,16865,29286,10522.396326065063
42,17898.62,16865,28471,10773.397207260132
43,17343.18,16430,27076,11013.396501541138
44,17606.18,16430,31792,11258.395433425903
45,16817.67,16430,25653,11440.39511680603
46,17451.1,16430,29584,11713.395357131958
47,16977.16,16130,26223,11959.42759513855
48,17003.93,16130,25951,12212.396144866943
49,16933.12,16130,26785,12493.396282196045
50,16660.9,16130,28510,12754.399061203003
51,16711.16,16130,27265,13054.40068244934
52,16530.62,16130,28248,13329.39600944519
53,17090.67,15870,28008,13630.409717559814
54,17071.44,15870,31864,13939.427614212036
55,16794.61,15870,27863,14205.395936965942
56,16681.99,15870,30550,14437.427520751953
57,16734.13,15870,24745,14745.421648025513
58,16754.23,15870,30883,14975.420475006104
59,16500.56,15870,23940,15267.395734786987
60,16235.93,15870,23413,15488.428115844727
61,17056.6,15870,30846,15795.395612716675
62,16591.22,15870,26728,16063.428401947021
63,16402.11,15870,25415,16287.91880607605
64,16599.68,15870,26440,16558.918952941895
65,16425.91,15870,25652,16806.944370269775
66,16796.33,15870,28570,17063.95125389099
67,16322.86,15870,27098,17339.918613433838
68,16441.42,15870,33593,17554.95309829712
69,16997.57,15870,29771,17813.951015472412
70,16579.84,15580,26841,18081.915855407715
71,16742.92,15580,31114,18318.969011306763
72,16264.73,15580,28210,18552.968978881836
73,16492.71,15580,27853,18798.937559127808
74,16362.34,15580,27045,19030.477046966553
75,16210.74,15580,26670,19282.711029052734
76,16046.14,15580,22909,19521.697282791138
77,16459.7,15580,27592,19752.665758132935
78,16550.43,15580,27844,20035.69722175598
79,16501.27,15580,32255,20249.69744682312
80,16677.96,15580,29585,20501.6987323761
81,16198.69,15052,31383,20762.66574859619
82,16466.91,15052,29130,20995.203971862793
83,16058.73,15052,28812,21215.2042388916
84,15543.64,15052,24951,21468.172788619995
85,15625.98,15052,26412,21709.513425827026
86,15580.22,14732,25204,21939.50605392456
