gen_no,avg_cost,min_cost,max_cost,time
0,38480.245,27903,47804,23.015260696411133
1,32135.575,25646,42664,965.6052589416504
2,27765.365,24180,39743,1962.6076221466064
3,25593.735,23426,36263,3078.5751342773438
4,24220.3,21275,32970,4258.575439453125
5,22839.09,19930,34862,5497.5745677948
6,21547.15,19425,33390,6731.57525062561
7,20077.08,19425,30465,7721.60530090332
8,20033.86,19385,34871,8772.579431533813
9,20017.315,18952,36221,9825.57463645935
10,19993.825,18452,34893,10800.604820251465
11,19357.03,17648,35048,11844.461679458618
12,19169.41,17648,35276,12856.483459472656
13,18338.945,17648,28562,13898.483514785767
14,18058.925,17648,28618,14917.51480102539
15,18106.75,17388,26138,15858.02435874939
16,18029.4,16672,29738,16777.02260017395
17,17811.855,16412,26273,17914.02268409729
18,17611.915,16412,32823,19133.022785186768
19,17065.055,16412,27943,20306.023836135864
20,16939.56,16412,27862,21237.021446228027
21,17141.69,16412,33947,22247.02262878418
22,17017.69,16412,26922,23259.02223587036
23,17350.735,16412,34238,24189.053535461426
24,17192.225,16412,30090,25171.05531692505
25,17181.015,16412,31060,26224.021911621094
26,16975.34,16412,26207,27351.022481918335
27,17199.065,16342,33072,28488.022089004517
28,17112.43,16342,29758,29597.05400466919
29,17042.545,16342,27626,30646.05402946472
30,17159.46,16342,33110,31654.05297279358
31,17119.18,16342,29862,32746.020793914795
32,16861.375,16342,24020,34009.89317893982
33,17324.305,16342,30357,35149.89185333252
34,17174.18,16212,29729,36271.891593933105
35,17014.02,16212,30061,37378.89099121094
36,16833.43,16212,33854,38566.89167022705
37,17139.605,16212,32544,39595.892906188965
38,17086.99,16212,30462,40648.89144897461
39,17061.09,16212,30128,41844.84839439392
40,17037.005,16212,29727,43021.848917007446
41,16963.505,16212,27395,44257.85231590271
42,16997.095,16212,32045,45602.84900665283
43,16785.5,16212,28817,46671.84925079346
44,16946.07,16212,30646,47825.852155685425
45,17132.06,16212,34052,49148.84972572327
46,16929.08,16212,29594,50248.88062477112
47,17104.39,16212,33774,51348.85239601135
48,16986.025,15637,32437,52459.8503112793
49,16730.85,15637,28452,53638.848066329956
50,16274.255,15637,32015,54557.880878448486
51,16457.965,15637,31620,55996.88148498535
52,16208.575,15637,27497,57061.87295913696
53,15964.21,15637,25765,58005.8798789978
54,16523.225,15637,28337,59136.44742965698
55,16373.925,15637,31703,60179.43620681763
56,16534.225,15637,32202,61293.41125488281
57,16357.55,15637,27167,62417.41418838501
58,16452.99,15637,32459,63728.4369468689
59,16770.325,15637,32795,64937.41250038147
60,16129.36,15637,26852,66148.42557907104
61,16313.245,15637,32783,67272.41134643555
62,16236.895,15637,27106,68272.41253852844
63,16223.125,15637,25405,69289.43347930908
64,16568.585,15637,33602,70594.41089630127
65,16304.95,15637,28719,71693.4118270874
66,16679.13,15637,32686,72815.41085243225
67,16425.75,15637,26454,73987.41292953491
68,16678.295,15637,29594,75085.41178703308
69,16585.615,15637,35127,76326.41267776489
70,16567.095,15637,32918,77506.41107559204
71,16347.36,15637,34527,78664.41106796265
72,16330.66,15637,29688,79802.43587493896
73,16246.245,15637,28387,80834.41090583801
74,16592.435,15637,32547,82004.4105052948
75,16687.435,15637,30557,83162.43600845337
76,16281.465,15637,28645,84216.41230583191
77,16743.2,15637,32650,85491.41025543213
78,16476.245,15637,30740,86548.41542243958
79,16424.38,15637,32495,87587.4137878418
80,16201.675,15637,26034,88634.41133499146
81,16652.345,15637,33861,89752.41231918335
82,16489.35,15637,29807,90856.4121723175
83,16468.68,15637,28883,91939.4109249115
84,16198.555,15637,28557,92976.41348838806
85,16445.505,15637,33520,94031.41331672668
86,16239.535,15637,29710,95187.41130828857
87,16213.315,15637,25663,96250.41222572327
88,16596.605,15637,29510,97440.41275978088
89,16358.315,15637,30205,98301.41282081604
90,16876.515,15637,32406,99596.41194343567
91,16320.52,15637,32860,100839.41340446472
92,16588.325,15637,34533,101993.41201782227
93,16378.0,15637,25817,103372.41101264954
94,16468.175,15637,27022,104561.41185760498
95,16273.31,15637,28117,105508.41188430786
96,16478.75,15637,33864,106629.41145896912
97,16377.48,15637,30992,107831.41136169434
98,16413.1,15637,28562,108994.41194534302
99,16269.26,15637,28672,110058.4363937378
