gen_no,avg_cost,min_cost,max_cost,time
0,38480.245,27903,47804,23.96869659423828
1,34056.175,25196,49235,955.9998512268066
2,32345.4,25196,48763,2126.9683837890625
3,26837.64,24312,42863,3130.999803543091
4,25617.18,24102,36786,4319.998502731323
5,24811.755,22010,40521,5598.9670753479
6,24147.74,21206,37513,6739.996910095215
7,22161.91,21066,32230,7833.006381988525
8,21501.115,21066,30556,8774.006605148315
9,21753.295,19533,36290,9757.007360458374
10,21243.265,19093,30805,10823.037147521973
11,20136.645,18143,32013,11820.472717285156
12,19842.225,18003,28365,12905.493974685669
13,18711.315,18003,30800,13989.506959915161
14,18500.165,18003,28895,14991.18447303772
15,18434.36,17913,25412,15978.219509124756
16,18647.43,17403,30809,16940.220594406128
17,18580.99,17313,28818,17913.222789764404
18,17913.73,17225,28183,19004.224061965942
19,17799.15,17225,31357,19974.238634109497
20,17728.365,16760,29673,20877.233266830444
21,17662.765,16760,33654,21863.237857818604
22,17317.45,16760,28317,22716.207027435303
23,17696.525,16492,33646,23676.207542419434
24,17315.305,16492,34408,24660.238027572632
25,17299.77,16492,34141,25536.237955093384
26,16970.545,16332,26863,26468.252897262573
27,17170.545,16312,32083,27532.208681106567
28,17024.015,16152,29657,28561.238765716553
29,16986.855,16102,29651,29604.238271713257
30,16847.125,16102,29077,30532.737016677856
31,16955.41,16102,29275,31565.767765045166
32,16589.56,15812,25742,32476.767539978027
33,17211.415,15812,30312,33442.76785850525
34,16513.35,15812,28692,34432.73591995239
35,16428.205,15812,27258,35500.50163269043
36,16554.345,15812,29008,36576.53260231018
37,16676.495,15812,36574,37628.50475311279
38,16480.84,15812,28734,38770.52617073059
39,16705.555,15812,26573,39917.53268241882
40,16742.025,15812,29247,41007.11989402771
41,16387.375,15812,27002,42035.11929512024
42,16638.62,15812,30666,43138.15116882324
43,16282.5,15682,26790,44085.521936416626
44,16530.49,15222,31634,45007.378816604614
45,16486.325,15222,29672,46122.400999069214
46,15917.54,15222,26034,47125.39982795715
47,15961.08,15222,29624,48098.400592803955
48,16092.33,15030,29879,49012.590646743774
49,15849.505,15030,26490,49919.64340209961
50,15640.73,15030,26409,50791.64385795593
51,15743.685,15030,33428,51997.637033462524
52,15615.2,15030,28429,52982.63692855835
53,15439.34,15030,27392,53918.61295700073
54,15897.095,15030,29620,54924.64351654053
55,15903.19,15030,30541,56038.612842559814
56,15824.165,15030,27925,57014.64772224426
57,15739.13,15030,27793,57980.64398765564
58,15904.095,15030,29960,59094.61283683777
59,16076.415,15030,31293,60133.18991661072
60,15487.5,15030,27940,61115.312576293945
61,15788.205,15030,28167,62113.34133148193
62,15707.42,15030,26920,63190.34433364868
63,15778.835,15030,28855,64363.33417892456
64,15804.76,15030,30584,65415.30966758728
65,15578.97,15030,26994,66420.3405380249
66,16157.415,15030,33107,67635.31136512756
67,15818.2,15030,27281,68711.33470535278
68,16093.025,15030,32410,69877.3102760315
69,15716.36,15030,31982,71054.30960655212
70,15996.335,15030,30434,72270.30944824219
71,15777.655,15030,31642,73295.34149169922
72,15663.0,14902,28272,74305.31239509583
73,15649.275,14902,28010,75274.34134483337
74,15944.06,14902,30169,76292.3412322998
75,15864.75,14902,31446,77293.34115982056
76,15773.805,14902,31319,78282.3097705841
77,16230.32,14902,32637,79417.33479499817
78,15659.825,14902,30122,80373.33345413208
79,15538.055,14902,30854,81252.34341621399
80,15491.85,14672,26550,82202.38041877747
81,15927.545,14672,29048,83250.06365776062
82,15497.745,14672,28276,84214.09678459167
83,15408.305,14672,28036,85220.08895874023
84,15264.66,14672,27982,86154.06394004822
85,15482.42,14672,32790,87084.10286903381
86,15339.6,14672,32707,88156.0959815979
87,15302.28,14672,24429,89156.25095367432
88,15671.045,14672,27693,90211.28225326538
89,15393.67,14672,25362,91038.25092315674
90,15823.94,14672,31495,92086.28296852112
91,15294.675,14672,32669,93121.25015258789
92,15724.545,14672,32255,94123.28314781189
93,15368.695,14672,26272,95083.25099945068
94,15487.33,14672,29001,96171.25129699707
95,15269.96,14672,26868,97029.28471565247
96,15441.23,14672,32317,97904.85954284668
97,15385.91,14672,26562,99032.82737731934
98,15422.175,14672,28354,100016.86143875122
99,15338.8,14672,25542,101085.86406707764
