gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,14.000654220581055
1,30973.69,27183,41931,245.02968788146973
2,28290.15,25529,44903,508.0304145812988
3,26276.33,24811,35564,756.0300827026367
4,25439.76,23801,30952,977.9973030090332
5,24633.89,23137,31742,1233.9999675750732
6,23983.48,22876,33022,1520.9972858428955
7,23516.08,22212,30685,1751.002550125122
8,22685.2,22212,28561,1998.9979267120361
9,22688.34,20382,28581,2241.9979572296143
10,21743.19,19839,29229,2507.000684738159
11,20412.54,19296,33860,2756.0293674468994
12,20089.29,19296,28706,2983.9980602264404
13,20267.21,19296,30870,3224.9982357025146
14,19825.27,19196,27998,3508.9993476867676
15,19890.27,18936,32066,3734.029769897461
16,19406.07,18936,25190,3963.998794555664
17,19233.79,18646,25665,4232.32889175415
18,19624.01,18646,37555,4512.328863143921
19,19358.76,18306,32814,4784.329652786255
20,19336.58,17424,32481,5054.329395294189
21,18144.55,17424,25041,5283.329486846924
22,18112.01,17169,27604,5524.320363998413
23,18384.1,17169,29610,5786.34238243103
24,17858.26,17169,27034,5995.9752559661865
25,17948.14,17169,34621,6261.943578720093
26,17660.78,17169,25487,6475.975275039673
27,17953.34,17169,27251,6721.968650817871
28,17922.52,17169,29699,6986.942529678345
29,17376.0,17169,26977,7233.974456787109
30,17798.5,17169,32413,7500.974416732788
31,18003.9,16716,27969,7779.974699020386
32,17241.55,16716,24991,7998.979091644287
33,17172.6,16716,25993,8254.975318908691
34,17314.07,16716,26372,8514.957666397095
35,17446.98,16110,29571,8762.866735458374
36,17261.18,15445,30395,9010.865688323975
37,16233.96,15445,23990,9262.859582901001
38,16000.9,15445,23600,9502.866983413696
39,15912.68,15445,27102,9762.866020202637
40,15968.16,15365,26663,9989.835739135742
41,16103.07,15365,27937,10239.874124526978
42,15831.94,15365,29204,10488.867282867432
43,16482.84,15365,29433,10705.86633682251
44,16138.64,15365,24720,10987.834930419922
45,15964.52,15365,27410,11251.866340637207
46,16152.74,15365,27668,11472.435474395752
47,16375.26,15365,26030,11734.442949295044
48,16098.41,15365,27638,11996.411323547363
49,15884.46,15365,27338,12233.411312103271
50,15880.23,15365,29195,12475.44264793396
51,16513.38,15365,31212,12742.411851882935
52,15773.51,15365,28083,12956.443071365356
53,16134.42,15365,28418,13225.443601608276
54,15915.76,15365,21917,13450.411558151245
55,16510.62,15365,29984,13740.443468093872
56,15970.6,15365,23830,13971.442937850952
57,15986.44,15365,25536,14194.436073303223
58,16312.67,15365,27307,14474.443197250366
59,15873.03,15365,26164,14752.436637878418
60,16297.15,15365,26923,15008.442401885986
61,16242.23,15365,28720,15313.442945480347
62,16029.36,15365,27372,15519.411087036133
63,16005.11,15365,28922,15788.411378860474
64,15982.3,15365,24976,16019.41180229187
65,16192.72,15090,26974,16262.423753738403
66,15802.99,15070,32297,16522.45020866394
67,15906.21,15070,28685,16786.442518234253
68,15729.85,15070,28510,17016.44229888916
69,15929.07,15070,32556,17259.44232940674
70,16232.19,15070,28133,17507.47060775757
71,15706.13,15070,26035,17756.438493728638
72,15941.67,15070,33688,18067.439794540405
73,15865.09,15070,26745,18306.4386844635
74,15942.0,15070,29500,18583.439111709595
75,16225.99,15070,37159,18824.438095092773
76,16648.03,15070,29720,19145.47038078308
77,15660.31,15070,26900,19372.470378875732
78,16021.67,15070,30842,19593.469858169556
79,16099.4,15070,29045,19851.438760757446
80,16486.41,15070,31807,20103.49702835083
81,15653.32,15070,28457,20329.503774642944
82,15701.79,15070,30078,20609.504461288452
83,16082.09,14802,28587,20903.482675552368
84,15834.64,14802,28097,21137.47239112854
85,15389.33,14802,26214,21429.51226234436
86,15613.19,14622,25396,21677.50120162964
87,15474.41,14622,28800,21949.506044387817
88,15397.34,14622,28532,22175.506114959717
89,15444.93,14622,29885,22408.472537994385
90,15299.98,14622,24505,22690.504550933838
91,15559.14,14622,27164,22936.504125595093
92,15447.21,14622,24638,23178.504467010498
93,15119.58,14622,25102,23468.50347518921
94,15521.98,14622,26008,23726.496696472168
95,15445.41,14622,25700,23988.505363464355
96,15612.88,14622,27934,24215.47269821167
97,15145.74,14622,24912,24428.504467010498
98,15246.94,14622,27542,24795.472145080566
99,15550.61,14622,28692,25057.472467422485
