gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,13.972759246826172
1,33394.41,27079,44665,259.0181827545166
2,28129.1,23049,34005,561.0008239746094
3,25803.32,22238,34534,890.9940719604492
4,23551.7,21938,36841,1162.971019744873
5,23253.21,20648,35107,1520.9708213806152
6,22505.05,20188,32474,1800.0004291534424
7,21137.34,20043,33810,2145.9691524505615
8,20877.21,19263,31941,2436.495065689087
9,20233.74,18727,28079,2715.4924869537354
10,20050.37,18727,29611,3040.5306816101074
11,19737.36,18727,29165,3314.494848251343
12,19600.62,18727,31320,3634.495258331299
13,19598.15,18727,27233,3963.4921550750732
14,19905.13,18727,31123,4253.544807434082
15,19774.84,18727,31184,4533.522844314575
16,19832.2,18727,36327,4802.491664886475
17,19735.57,18727,33476,5087.525129318237
18,19692.42,18727,36688,5364.523887634277
19,19564.88,18727,31472,5612.52236366272
20,19601.13,18062,30012,5940.201997756958
21,19350.75,17947,28057,6210.88719367981
22,19086.94,17947,29176,6525.45952796936
23,18934.15,17947,29798,6776.459455490112
24,18505.56,17947,24967,7054.452180862427
25,19124.05,17947,29719,7358.428478240967
26,19144.35,17382,32545,7614.429950714111
27,18461.17,17382,28169,7891.459226608276
28,18414.82,17382,31781,8166.45884513855
29,18262.09,17382,25514,8450.01769065857
30,18542.28,17382,32891,8752.042055130005
31,18284.15,17382,33778,9018.041372299194
32,18457.45,17382,30587,9292.009353637695
33,18065.24,17382,32512,9580.010175704956
34,18688.06,17082,28567,9816.01333618164
35,18099.31,17082,27155,10092.010736465454
36,17878.2,17082,24597,10338.041305541992
37,17997.61,17082,24537,10607.041597366333
38,18465.94,17082,33077,10866.012334823608
39,18236.02,17082,27688,11135.010719299316
40,18209.97,17082,33340,11431.04362487793
41,18491.67,17082,33344,11706.010580062866
42,18479.28,17082,31346,12045.042276382446
43,18269.39,17082,30720,12352.167844772339
44,18230.38,17082,28883,12622.199058532715
45,18304.58,17082,30497,12917.167901992798
46,18221.12,17082,33060,13222.199201583862
47,17966.21,17082,29713,13455.202102661133
48,18529.72,17082,31722,13723.167181015015
49,18305.96,17082,34058,14011.198997497559
50,18268.21,17082,31183,14246.166944503784
51,17844.94,17082,26387,14487.168073654175
52,18265.22,17082,32470,14785.526514053345
53,18116.91,17082,32552,15027.526378631592
54,18664.87,17082,30726,15292.526483535767
55,18249.17,17082,32730,15552.527666091919
56,17774.79,17082,28888,15814.558029174805
57,18031.44,17002,30787,16119.529008865356
58,18827.04,17002,32942,16358.526468276978
59,17907.5,17002,24442,16660.557746887207
60,18702.29,17002,34729,16889.52660560608
61,18038.54,17002,30120,17156.52632713318
62,18275.26,17002,29026,17480.56173324585
63,17920.89,17002,27488,17736.558198928833
64,17639.85,16942,26990,17987.558126449585
65,18476.85,16942,31573,18262.556791305542
66,17636.78,16942,24657,18513.55791091919
67,17899.36,16942,28195,18805.55820465088
68,18196.65,16942,28627,19127.527236938477
69,18452.51,16942,32573,19427.557706832886
70,18253.39,16942,28027,19679.55780029297
71,17974.25,16942,29875,19944.559812545776
72,17845.5,16942,30278,20215.558528900146
73,18247.21,16942,35305,20488.5573387146
74,17862.93,16942,29322,20779.52551841736
75,17714.39,16942,26537,21001.558780670166
76,17615.41,16942,32924,21257.527828216553
77,18007.11,16942,28621,21556.881189346313
78,18373.29,16942,33952,21825.848817825317
79,18212.82,16942,32320,22139.873266220093
80,18067.73,16942,35375,22372.873067855835
81,18190.96,16942,31347,22657.87386894226
82,17869.55,16942,30272,22961.880207061768
83,18142.37,16942,25820,23246.848821640015
84,17726.16,16942,26372,23514.848947525024
85,18166.43,16942,30504,23788.848638534546
86,17900.82,16942,28399,24069.883584976196
87,18375.87,16942,31520,24369.84896659851
88,17813.0,16247,27567,24598.36459159851
89,17960.83,16247,29334,24917.330980300903
90,16800.81,16247,27692,25166.330814361572
91,17119.95,16247,28713,25454.331159591675
92,17807.05,16112,33891,25722.331047058105
93,17193.16,16112,26474,25999.330759048462
94,17185.51,16112,28867,26260.382652282715
95,17426.31,16112,28433,26515.382051467896
96,17048.33,16112,26887,26801.414012908936
97,17252.27,16112,27182,27088.407039642334
98,16998.93,16112,28081,27317.416429519653
99,17681.29,16112,28990,27631.38175010681
