gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,6.96873664855957
1,34231.42,27021,45031,92.96989440917969
2,30184.98,24849,42537,179.978609085083
3,26854.28,24849,31319,259.0017318725586
4,25785.22,23586,35780,321.4988708496094
5,25423.8,23586,37014,403.52344512939453
6,23993.02,23496,30677,472.5220203399658
7,24367.04,23496,33674,546.5197563171387
8,23960.34,23491,30585,618.5245513916016
9,24042.2,23491,32026,712.5210762023926
10,24349.16,23171,30549,796.5543270111084
11,24122.8,23171,30536,877.5210380554199
12,23481.2,22940,26871,954.5202255249023
13,23934.48,22905,32971,1037.5218391418457
14,23420.42,22905,31414,1124.5231628417969
15,23332.12,22905,30405,1223.5217094421387
16,23419.74,22831,32603,1312.523365020752
17,23749.04,22831,31688,1406.5203666687012
18,23089.26,21761,27353,1480.5212020874023
19,23019.88,20701,28426,1562.520980834961
20,22116.84,20571,32201,1638.5345458984375
21,21144.64,19691,28123,1730.5212020874023
22,20941.22,19561,28851,1817.5230026245117
23,20129.98,19561,25180,1887.5203132629395
24,20027.62,19561,27517,1971.519947052002
25,20189.82,19561,27455,2048.552989959717
26,20071.52,19561,26431,2144.5517539978027
27,20357.88,19561,31012,2203.5207748413086
28,20245.2,19561,32112,2276.566982269287
29,19824.9,19561,24741,2347.545623779297
30,20358.54,19496,29574,2426.520824432373
31,20294.72,18521,27341,2506.520986557007
32,19359.16,18456,21914,2570.521354675293
33,19290.36,18391,33744,2659.52205657959
34,18529.12,18326,21356,2721.555233001709
35,19503.54,17620,27421,2805.5245876312256
36,18631.64,17620,24955,2908.5206985473633
37,17762.72,17620,21120,2982.6321601867676
38,18018.74,17620,24671,3046.6325283050537
39,18169.52,17620,28056,3120.631456375122
40,18040.18,17620,25319,3179.6000003814697
41,17865.08,17560,23945,3250.6000995635986
42,18344.9,17560,28854,3315.6020641326904
43,18021.84,17560,22640,3403.6314487457275
44,18200.14,17560,31787,3478.6324501037598
45,18033.32,17560,24200,3575.6313800811768
46,18557.6,17560,27906,3664.602518081665
47,18199.98,17560,24150,3731.630325317383
48,17718.08,17435,21349,3803.600549697876
49,18519.04,17435,25950,3883.631467819214
50,18200.8,17435,24755,3956.6330909729004
51,17866.22,17435,22583,4020.6003189086914
52,18036.08,17435,27100,4102.630853652954
53,18136.82,17435,26835,4173.634052276611
54,18074.06,17435,32390,4239.600658416748
55,18013.72,17435,25700,4346.599340438843
56,17964.64,17435,26130,4402.6312828063965
57,18407.24,17435,32802,4456.631183624268
58,18116.56,17435,26220,4542.624473571777
59,18034.88,17010,25417,4623.642206192017
60,17858.58,17010,26059,4692.6000118255615
61,17733.84,17010,26596,4762.633562088013
62,17629.78,17010,27975,4845.635652542114
63,17596.0,17010,26847,4904.624938964844
64,18122.54,17010,28385,5010.632753372192
65,17285.58,17010,23601,5083.630800247192
66,17210.2,17010,25045,5155.632972717285
67,17481.72,17010,28369,5229.599952697754
68,17535.66,17010,25515,5302.63090133667
69,17810.5,17010,29335,5373.599290847778
70,17807.88,17010,31803,5446.600675582886
71,17455.44,16132,24530,5522.632598876953
72,17117.16,16132,21850,5589.632034301758
73,16959.14,16132,25724,5691.631078720093
74,17132.4,16132,36779,5767.631053924561
75,16655.6,16132,23912,5837.600946426392
76,16914.28,16132,29241,5916.630983352661
77,16407.1,16132,18764,6000.599384307861
78,17741.9,16132,30120,6074.600696563721
79,16881.12,16132,31042,6157.631397247314
80,17322.2,16132,27052,6236.631631851196
81,16545.08,16132,31510,6299.630880355835
82,17266.12,16132,27537,6394.599914550781
83,16772.86,16132,26334,6472.600221633911
84,16803.7,16132,26885,6551.524639129639
85,17138.4,16132,32128,6623.5246658325195
86,16977.02,16132,28596,6699.556112289429
87,16870.8,16132,29408,6777.526617050171
88,17321.72,16132,30887,6849.524974822998
89,16812.62,16132,26318,6936.556339263916
90,16442.68,16132,23972,7000.556707382202
91,17122.44,16132,29921,7096.5256690979
92,16915.78,16132,27465,7168.21813583374
93,16279.84,16132,21546,7253.2079219818115
94,16426.4,16132,22007,7317.207813262939
95,16597.94,16132,24085,7392.240285873413
96,16872.28,16132,26526,7455.239772796631
97,16611.88,16132,24082,7531.241893768311
98,16714.7,16132,22024,7593.211650848389
99,16779.56,16132,23864,7671.208620071411
100,16800.5,16132,23510,7739.232540130615
101,16923.54,16132,30491,7840.239763259888
102,16434.98,16132,23932,7922.239780426025
103,16512.32,16132,21521,8007.239818572998
104,16634.16,16132,24658,8089.240312576294
105,16944.16,15787,25667,8171.242475509644
106,16374.7,15787,23557,8243.239879608154
107,16789.28,15787,31287,8318.233489990234
108,16808.76,15787,28441,8389.240264892578
109,16349.68,15787,25853,8452.240228652954
110,16121.44,15787,22911,8531.232833862305
111,16530.28,15787,25627,8611.241340637207
112,16913.98,15787,29628,8684.24105644226
113,17114.72,15787,33687,8770.23983001709
114,16488.3,15787,30823,8835.208654403687
115,16291.82,15787,25184,8907.26089477539
116,16224.7,15787,22795,8982.261896133423
117,16810.32,15787,32057,9055.923461914062
118,16909.2,15787,31765,9137.924671173096
119,16514.34,15627,30752,9240.783214569092
120,16337.52,15627,25491,9310.829877853394
121,15994.72,15627,23467,9375.837564468384
122,16654.48,15627,32477,9455.829620361328
123,16381.12,15627,28775,9541.805028915405
124,16648.78,15627,29933,9607.839345932007
125,16646.9,15627,29118,9683.518171310425
126,16738.52,15627,27691,9755.472660064697
127,16072.34,15627,20949,9823.473453521729
128,16600.64,15627,25817,9916.472911834717
129,16213.72,15627,24227,9983.471870422363
130,16542.72,15627,26180,10061.471700668335
131,16614.7,15627,30212,10145.47324180603
132,16081.94,15327,24979,10218.477487564087
133,16256.96,15327,27079,10305.49693107605
134,15941.64,14882,23462,10375.505447387695
135,15917.08,14882,24077,10451.472759246826
136,15757.82,14882,25774,10529.472589492798
137,15315.28,14882,23392,10627.471923828125
138,15455.86,14882,25083,10704.477548599243
139,15623.72,14882,22342,10779.47187423706
140,15603.52,14882,23246,10863.506317138672
141,15716.46,14882,24155,10954.50472831726
142,15321.88,14882,20436,11038.699388504028
143,15131.52,14592,20800,11121.535778045654
144,16007.32,14592,32085,11200.53482055664
