gen_no,avg_cost,min_cost,max_cost,time
0,38386.35333333333,27903,47839,32.99975395202637
1,31570.576666666668,26673,46075,1998.0103969573975
2,29516.55,24653,46516,3878.9987564086914
3,27048.326666666668,23146,41685,5911.022424697876
4,25352.046666666665,21178,37107,7984.012842178345
5,24159.703333333335,20374,35919,10044.028997421265
6,21533.516666666666,19674,34514,12266.013383865356
7,20751.75,19009,43617,14608.0002784729
8,19980.226666666666,18871,28836,16680.02414703369
9,19670.106666666667,18389,35847,18908.013105392456
10,19300.586666666666,17853,30914,21103.000164031982
11,18964.323333333334,17813,34101,23966.999053955078
12,18465.793333333335,17813,32136,26102.99849510193
13,18555.373333333333,17207,33672,28533.998727798462
14,18255.156666666666,17207,35238,31346.998691558838
15,17821.676666666666,17117,31583,33830.00087738037
16,17928.733333333334,16967,30272,36697.999477386475
17,17959.956666666665,16950,34602,39162.01710700989
18,17628.67,16800,31441,41337.00728416443
19,17727.93,16800,30425,43783.03074836731
20,17623.463333333333,16800,37060,45947.02959060669
21,17679.68,16800,31772,48107.03659057617
22,17771.136666666665,16800,33323,50298.03013801575
23,17557.05,16780,36216,52654.02936935425
24,17531.616666666665,16570,33923,55064.00537490845
25,17376.803333333333,16570,31508,57343.03021430969
26,17511.18,16570,31074,59587.97073364258
27,17416.2,16570,31771,62063.00234794617
28,17354.076666666668,16570,30397,64433.97068977356
29,17367.703333333335,16570,28757,66794.97122764587
30,17240.56,16570,29279,69157.0029258728
31,17486.386666666665,16340,33348,71495.9704875946
32,17302.756666666668,16230,33779,73820.98007202148
33,17026.566666666666,16230,30104,76040.97175598145
34,16949.853333333333,16230,33114,78138.8304233551
35,16882.076666666668,16230,28866,80719.87414360046
36,16976.646666666667,16230,31619,83220.85952758789
37,17139.266666666666,15972,34579,85551.82671546936
38,16907.196666666667,15972,38791,87921.82469367981
39,16867.716666666667,15972,34773,90132.82918930054
40,16664.8,15732,29444,92457.82709121704
41,16973.94,15732,35775,94551.82576179504
42,16535.353333333333,15732,35729,96887.82501220703
43,16560.213333333333,15732,36205,99417.82546043396
44,16550.67,15732,28776,101812.75868415833
45,16588.893333333333,15732,33979,104582.79013633728
46,16470.783333333333,15472,27849,107271.7604637146
47,16428.656666666666,15472,28835,110219.7585105896
48,16513.196666666667,15472,30892,112764.76001739502
49,16182.92,15472,31298,114851.79042816162
50,16275.7,15472,28718,117580.75904846191
51,16432.736666666668,15472,37119,120202.75902748108
52,16179.953333333333,15472,29502,122554.89993095398
53,16268.28,15472,31916,125307.89923667908
54,16140.83,15472,28752,127735.87012290955
55,16223.15,15472,30227,131290.89307785034
56,16332.606666666667,15472,32175,133765.86747169495
57,16217.68,15472,35013,136257.89952278137
58,16555.413333333334,15472,32992,138822.86930084229
59,16284.0,15472,27339,142019.87385749817
60,16203.933333333332,15472,29927,144598.86813163757
61,16212.89,15472,31876,147417.8683757782
62,16168.76,15472,27817,149978.8694381714
63,16086.003333333334,15472,34364,152470.86787223816
64,16215.806666666667,15472,30622,154694.8685646057
65,16321.393333333333,15472,34917,157133.9030265808
66,16231.65,15415,32369,159749.8700618744
67,16311.643333333333,15415,34083,162164.90006446838
68,16159.59,15327,28840,164720.871925354
69,16159.776666666667,15327,29793,166991.89949035645
70,15982.43,15327,29107,169544.8682308197
71,16065.473333333333,15327,28641,171885.89358329773
72,16138.743333333334,15327,32714,174375.86760520935
73,16409.35,15327,31256,176850.45385360718
74,16394.586666666666,15327,31624,179667.42968559265
75,15922.786666666667,15327,29987,182114.43281173706
76,15975.233333333334,15327,31399,184887.42923736572
77,15919.863333333333,15327,30687,187622.4329471588
78,16290.746666666666,15327,31094,190433.45999717712
79,16237.61,15327,37075,193132.4644088745
80,16073.496666666666,15327,29942,195894.43135261536
81,16059.733333333334,15327,29503,198085.45994758606
82,16201.526666666667,15327,29520,200852.43105888367
83,16177.596666666666,15327,31727,203327.43000984192
84,15972.706666666667,15327,27722,205947.4287033081
85,15874.436666666666,15327,27792,208513.4301185608
86,16297.146666666667,15327,29512,211257.43079185486
87,15996.336666666666,15327,27684,213803.46083641052
88,16178.52,15327,31599,216579.42986488342
89,16298.043333333333,15327,31078,219138.42964172363
90,15985.073333333334,15327,35494,221738.9678955078
91,16220.656666666666,15327,34198,224350.97455978394
92,16050.063333333334,15327,28460,226557.945728302
93,16223.07,15327,33463,229172.97506332397
94,16096.733333333334,15327,32793,231905.94506263733
95,16263.623333333333,15327,32131,234435.9428882599
96,16127.823333333334,15142,27679,236780.94506263733
97,16497.28,15032,35991,239430.94515800476
98,16210.876666666667,15032,29932,241831.9432735443
99,16221.196666666667,15032,28942,244300.94480514526
