gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,8.00466537475586
1,34231.42,27021,45031,100.03829002380371
2,30184.98,24849,42537,199.03826713562012
3,26854.28,24849,31319,289.03746604919434
4,25785.22,23586,35780,359.26103591918945
5,25423.8,23586,37014,457.2477340698242
6,23993.02,23496,30677,540.2500629425049
7,24367.04,23496,33674,622.2479343414307
8,23960.34,23491,30585,705.2474021911621
9,24042.2,23491,32026,812.2529983520508
10,24349.16,23171,30549,911.2498760223389
11,24122.8,23171,30536,1001.2481212615967
12,23481.2,22940,26871,1094.7685241699219
13,23934.48,22905,32971,1180.7689666748047
14,23420.42,22905,31414,1277.7702808380127
15,23332.12,22905,30405,1393.7656879425049
16,23419.74,22831,32603,1474.7650623321533
17,23749.04,22831,31688,1585.6115818023682
18,23089.26,21761,27353,1674.6118068695068
19,23019.88,20701,28426,1763.61083984375
20,22116.84,20571,32201,1848.6123085021973
21,21144.64,19691,28123,1944.6206092834473
22,20941.22,19561,28851,2040.4036045074463
23,20129.98,19561,25180,2119.4210052490234
24,20027.62,19561,27517,2219.4199562072754
25,20189.82,19561,27455,2323.4200477600098
26,20071.52,19561,26431,2520.4222202301025
27,20357.88,19561,31012,2590.421438217163
28,20245.2,19561,32112,2675.4207611083984
29,19824.9,19561,24741,2754.420757293701
30,20358.54,19496,29574,2850.4228591918945
31,20294.72,18521,27341,2939.4211769104004
32,19359.16,18456,21914,3006.535053253174
33,19290.36,18391,33744,3109.555721282959
34,18529.12,18326,21356,3177.5639057159424
35,19503.54,17620,27421,3270.551919937134
36,18631.64,17620,24955,3400.5517959594727
37,17762.72,17620,21120,3482.5515747070312
38,18018.74,17620,24671,3553.0691146850586
39,18169.52,17620,28056,3635.0693702697754
40,18040.18,17620,25319,3708.069324493408
41,17865.08,17560,23945,3794.137954711914
42,18344.9,17560,28854,3868.792772293091
43,18021.84,17560,22640,3971.792697906494
44,18200.14,17560,31787,4052.9251098632812
45,18033.32,17560,24200,4157.629728317261
46,18557.6,17560,27906,4257.3254108428955
47,18199.98,17560,24150,4337.744235992432
48,17718.08,17435,21349,4416.7468547821045
49,18519.04,17435,25950,4498.4331130981445
50,18200.8,17435,24755,4574.4311809539795
51,17866.22,17435,22583,4644.470930099487
52,18036.08,17435,27100,4729.470729827881
53,18136.82,17435,26835,4801.451683044434
54,18074.06,17435,32390,4872.452020645142
55,18013.72,17435,25700,4989.922046661377
56,17964.64,17435,26130,5064.910888671875
57,18407.24,17435,32802,5123.911380767822
58,18116.56,17435,26220,5219.938516616821
59,18034.88,17010,25417,5304.938554763794
60,17858.58,17010,26059,5372.800588607788
61,17733.84,17010,26596,5445.802688598633
62,17629.78,17010,27975,5523.864269256592
63,17596.0,17010,26847,5596.45414352417
64,18122.54,17010,28385,5705.093622207642
65,17285.58,17010,23601,5797.123432159424
66,17210.2,17010,25045,5878.125905990601
67,17481.72,17010,28369,5959.214687347412
68,17535.66,17010,25515,6037.536859512329
69,17810.5,17010,29335,6109.73858833313
70,17807.88,17010,31803,6190.052032470703
71,17455.44,16132,24530,6271.407604217529
72,17117.16,16132,21850,6342.911958694458
73,16959.14,16132,25724,6472.492456436157
74,17132.4,16132,36779,6557.498455047607
75,16655.6,16132,23912,6633.492231369019
76,16914.28,16132,29241,6718.554973602295
77,16407.1,16132,18764,6812.555313110352
78,17741.9,16132,30120,6882.552862167358
79,16881.12,16132,31042,6977.554082870483
80,17322.2,16132,27052,7065.552473068237
81,16545.08,16132,31510,7131.552934646606
82,17266.12,16132,27537,7247.643232345581
83,16772.86,16132,26334,7330.641984939575
84,16803.7,16132,26885,7424.760818481445
85,17138.4,16132,32128,7513.672590255737
86,16977.02,16132,28596,7594.673156738281
87,16870.8,16132,29408,7675.140380859375
88,17321.72,16132,30887,7752.133846282959
89,16812.62,16132,26318,7850.918292999268
90,16442.68,16132,23972,7918.26057434082
91,17122.44,16132,29921,8035.260438919067
92,16915.78,16132,27465,8115.2238845825195
93,16279.84,16132,21546,8213.226079940796
94,16426.4,16132,22007,8282.969951629639
95,16597.94,16132,24085,8363.423109054565
96,16872.28,16132,26526,8433.423280715942
97,16611.88,16132,24082,8517.426013946533
98,16714.7,16132,22024,8584.423303604126
99,16779.56,16132,23864,8672.5435256958
100,16800.5,16132,23510,8743.69478225708
101,16923.54,16132,30491,8853.009700775146
102,16434.98,16132,23932,8954.973220825195
103,16512.32,16132,21521,9038.737535476685
104,16634.16,16132,24658,9136.675357818604
105,16944.16,15787,25667,9221.753358840942
106,16374.7,15787,23557,9306.068658828735
107,16789.28,15787,31287,9386.069297790527
108,16808.76,15787,28441,9468.775033950806
109,16349.68,15787,25853,9539.777278900146
110,16121.44,15787,22911,9632.66396522522
111,16530.28,15787,25627,9719.661712646484
112,16913.98,15787,29628,9793.03002357483
113,17114.72,15787,33687,9886.491775512695
114,16488.3,15787,30823,9961.166620254517
115,16291.82,15787,25184,10041.16678237915
116,16224.7,15787,22795,10122.17092514038
117,16810.32,15787,32057,10202.385187149048
118,16909.2,15787,31765,10291.64457321167
119,16514.34,15627,30752,10418.246746063232
120,16337.52,15627,25491,10487.78510093689
121,15994.72,15627,23467,10553.781509399414
122,16654.48,15627,32477,10635.920763015747
123,16381.12,15627,28775,10719.670057296753
124,16648.78,15627,29933,10805.324792861938
125,16646.9,15627,29118,10887.953281402588
126,16738.52,15627,27691,10963.40012550354
127,16072.34,15627,20949,11034.39974784851
128,16600.64,15627,25817,11137.245655059814
129,16213.72,15627,24227,11211.921453475952
130,16542.72,15627,26180,11292.921543121338
131,16614.7,15627,30212,11381.927490234375
132,16081.94,15327,24979,11463.921308517456
133,16256.96,15327,27079,11553.922891616821
134,15941.64,14882,23462,11627.424001693726
135,15917.08,14882,24077,11705.429315567017
136,15757.82,14882,25774,11789.424657821655
137,15315.28,14882,23392,11901.21078491211
138,15455.86,14882,25083,11986.025094985962
139,15623.72,14882,22342,12067.012786865234
140,15603.52,14882,23246,12151.190280914307
141,15716.46,14882,24155,12252.49171257019
142,15321.88,14882,20436,12349.950075149536
143,15131.52,14592,20800,12434.47732925415
144,16007.32,14592,32085,12525.831460952759
145,16104.72,14592,28517,12633.759260177612
146,16181.1,14592,32052,12732.909440994263
147,15796.82,14592,26233,12817.208528518677
148,15260.48,14427,22432,12896.892547607422
149,14924.5,14427,27962,12963.643312454224
150,14878.7,14427,20472,13038.643836975098
151,14748.44,14427,18492,13117.432832717896
152,15712.08,14427,26614,13194.650888442993
153,15048.96,14427,27659,13272.650957107544
154,15802.28,14427,30822,13398.87285232544
155,16201.9,14427,31467,13498.865842819214
156,15284.7,14427,23023,13583.502292633057
157,15733.14,14422,28167,13665.386438369751
158,15593.36,14422,33934,13754.175901412964
159,14747.28,14422,20702,13831.175327301025
160,15649.56,14422,27006,13916.234493255615
161,15032.16,14422,19552,13999.44543838501
162,15421.88,14422,27307,14097.033023834229
163,15107.5,14422,21778,14199.54252243042
164,14931.52,14422,20394,14299.838304519653
165,15032.86,14422,21353,14381.569147109985
166,14824.72,14422,24764,14460.769653320312
167,14748.54,14422,22544,14528.771162033081
168,15587.34,14422,23182,14613.009214401245
169,16166.62,14422,30907,14706.28571510315
170,15285.46,14422,27165,14778.553009033203
171,14917.52,14422,22932,14867.769002914429
172,15474.66,14422,23239,14967.00668334961
173,15020.66,14422,24922,15064.191818237305
174,15391.42,14422,29079,15148.00238609314
175,15016.84,14422,21762,15229.740858078003
176,14857.98,13737,24092,15308.906555175781
177,14936.16,13737,24750,15401.906967163086
178,14262.82,13737,21587,15491.906881332397
179,14480.6,13737,28722,15567.90804862976
180,14174.58,13737,24209,15654.462337493896
181,14339.58,13737,24465,15770.365715026855
182,14787.98,13737,27131,15865.548372268677
183,14694.5,13737,26554,15947.408437728882
184,14506.4,13737,26355,16028.193235397339
185,14651.72,13737,22258,16114.536046981812
186,15138.74,13737,33277,16207.732677459717
187,14108.44,13737,22019,16271.893501281738
188,14428.72,13737,20187,16347.32961654663
189,14875.0,13737,24336,16428.05051803589
190,14265.56,13737,23077,16561.65862083435
191,14409.0,13737,24212,16639.96386528015
192,14079.28,13737,22337,16720.968008041382
193,13964.1,13737,19047,16792.96350479126
194,13784.24,13737,16099,16871.965169906616
195,14990.1,13737,24187,16964.020013809204
196,14444.76,13737,23523,17041.642665863037
197,14151.32,13737,22819,17108.642578125
198,14474.22,13737,24125,17196.67410850525
199,14820.24,13737,26651,17311.521291732788
200,14328.82,13737,21081,17389.39070701599
201,15220.54,13737,26220,17480.467557907104
202,14537.3,13737,26161,17563.87448310852
203,14721.74,13737,29273,17664.47377204895
204,14482.0,13737,23947,17761.67106628418
205,15383.76,13737,30542,17845.93367576599
206,14850.4,13737,28658,17934.346914291382
207,14082.14,13737,21257,18005.935192108154
208,14210.22,13737,19795,18112.637042999268
209,13982.54,13737,20519,18171.85878753662
210,14528.72,13737,24594,18251.859188079834
211,14739.98,13737,22548,18325.345277786255
212,15088.2,13737,30783,18401.67260169983
213,14526.12,13737,25396,18475.67367553711
214,14704.22,13737,23655,18562.745332717896
215,14188.4,13737,25161,18654.789924621582
216,14379.06,13737,22673,18728.793621063232
217,14494.66,13737,28950,18828.39322090149
218,14206.78,13737,21729,18912.770986557007
219,14951.16,13737,30994,18998.94618988037
220,14065.62,13737,20872,19071.635246276855
221,14201.56,13737,22559,19156.63981437683
222,14287.5,13737,21470,19230.636835098267
223,14213.9,13737,22066,19324.791193008423
224,14362.88,13737,21952,19396.784782409668
225,13867.9,13737,17357,19489.299535751343
226,14437.9,13737,24860,19551.29647254944
227,14188.36,13737,24636,19658.950090408325
228,15108.8,13737,29221,19734.870195388794
229,14732.98,13737,29972,19813.870191574097
230,15031.78,13737,27163,19902.299642562866
231,14810.18,13737,34334,19994.44532394409
232,14407.24,13737,21527,20078.73296737671
233,14546.22,13737,20675,20176.163911819458
234,14317.28,13737,23516,20276.13377571106
235,14622.8,13737,23722,20377.41756439209
236,14651.16,13737,26783,20470.93963623047
237,14196.24,13737,20387,20552.93583869934
238,14505.12,13737,21008,20642.93384552002
239,13940.42,13737,17450,20713.88053894043
240,14192.62,13737,22879,20809.773206710815
241,14015.4,13737,19172,20872.137546539307
242,14595.38,13737,25264,20950.134992599487
243,14360.64,13737,26324,21026.612281799316
244,14539.26,13737,28977,21127.216339111328
245,14299.1,13737,21619,21227.052211761475
246,14147.44,13737,23187,21306.33306503296
247,14471.92,13737,26147,21377.33268737793
248,13945.42,13737,22013,21476.88388824463
249,14540.94,13737,26369,21542.879343032837
250,14476.14,13737,21797,21626.352787017822
251,14300.46,13737,21855,21696.547508239746
252,14588.0,13737,28839,21768.547534942627
253,14642.82,13737,22977,21843.547821044922
254,14744.42,13737,25536,21942.095041275024
255,14043.12,13737,18159,22019.21057701111
256,14453.82,13737,24280,22109.27176475525
257,14413.14,13737,21531,22208.67133140564
258,14315.5,13737,21457,22305.225372314453
259,14641.2,13737,23242,22392.2221660614
260,14660.5,13737,24083,22472.614765167236
261,14716.64,13737,24501,22558.791875839233
262,14402.72,13737,22915,22643.09048652649
263,14386.54,13737,23077,22741.405963897705
264,14668.62,13697,25774,22831.977128982544
265,14709.28,13697,31626,22902.440786361694
266,14642.18,13697,26188,22980.441331863403
267,13929.82,13697,21752,23107.81455039978
268,14065.5,13697,19347,23190.63687324524
269,14500.26,13697,24407,23273.480653762817
270,14625.36,13697,25975,23352.13541984558
271,14744.12,13697,23838,23429.874420166016
272,14081.44,13697,21560,23514.958381652832
273,14481.34,13697,25935,23624.66549873352
274,14317.02,13697,20475,23724.228143692017
275,14333.16,13697,23689,23808.688640594482
276,13996.4,13697,23007,23872.449159622192
277,14457.16,13697,26328,23954.596519470215
278,14419.28,13697,28182,24022.59588241577
279,14592.94,13697,24235,24105.59582710266
280,14961.0,13697,27734,24186.595678329468
281,14365.86,13697,21342,24258.644104003906
282,14494.42,13697,23357,24381.420373916626
283,14847.82,13697,23987,24497.6863861084
284,14433.02,13697,21217,24561.684131622314
285,14416.16,13697,20637,24647.68385887146
286,14418.14,13697,23464,24722.683906555176
287,14331.2,13697,24337,24846.96912765503
