gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,8.005380630493164
1,34702.44,27903,42480,114.04061317443848
2,30001.7,27333,37148,237.60223388671875
3,28738.38,25583,37088,348.60754013061523
4,27872.14,25583,33093,452.6796340942383
5,26359.24,25171,30996,568.4919357299805
6,26997.16,23162,34766,702.6498317718506
7,26058.44,22918,33614,840.8041000366211
8,25730.92,22918,34258,940.8090114593506
9,25204.9,22584,33597,1050.865650177002
10,25691.76,21934,42585,1184.3650341033936
11,24929.44,21804,36998,1334.1879844665527
12,23459.54,21804,35932,1451.6091346740723
13,23578.64,21804,31838,1579.6220302581787
14,23373.7,21704,31779,1701.7512321472168
15,23232.98,21639,31414,1852.6973724365234
16,23522.36,21406,33002,1968.172311782837
17,23548.88,20149,32349,2100.8667945861816
18,22819.14,19881,31650,2234.856128692627
19,22449.72,19881,32335,2351.327657699585
20,21009.94,19786,28328,2466.362714767456
21,21823.2,19786,29731,2583.7340354919434
22,20522.72,19786,27116,2684.8409175872803
23,22130.76,19786,33156,2816.2128925323486
24,21423.5,19786,29900,2979.8202514648438
25,21583.74,19786,30505,3113.544464111328
26,21327.68,19661,29935,3256.497383117676
27,21088.64,19661,30051,3366.5385246276855
28,21546.1,19476,34769,3497.997760772705
29,21758.72,18680,29293,3617.2800064086914
30,21582.9,18680,29180,3780.8995246887207
31,20568.04,18427,32418,3899.3399143218994
32,19728.76,18427,28685,4024.228096008301
33,20315.48,17667,27561,4147.529363632202
34,19616.22,17667,27969,4266.592741012573
35,19254.54,17667,29150,4366.64080619812
36,19409.22,17667,31257,4466.548681259155
37,19906.26,17492,27522,4612.382888793945
38,19178.78,17357,24437,4734.414577484131
39,19869.8,17357,28367,4839.748382568359
40,19929.48,17357,30747,4948.426008224487
41,18927.92,17357,28413,5080.039501190186
42,19712.16,17357,26826,5214.037895202637
43,19861.42,17107,30613,5372.119188308716
44,19184.48,17107,27752,5481.127023696899
45,17932.48,17107,25027,5590.900182723999
46,18629.1,17107,25473,5690.901517868042
47,19472.14,16691,26289,5826.967000961304
48,18161.36,16691,27999,5951.943397521973
49,18963.9,16691,31886,6155.3380489349365
50,18708.08,16691,25976,6299.350738525391
51,18059.7,16691,27681,6422.354936599731
52,19059.38,16691,26137,6550.355434417725
53,18767.6,16691,30030,6675.064563751221
54,18071.12,16691,25880,6819.707632064819
55,19310.3,16506,30578,6985.7118129730225
56,18915.96,16446,34357,7160.709857940674
57,18749.26,16446,29660,7284.988164901733
58,18668.28,16446,30685,7393.875360488892
59,18515.62,16446,28689,7506.474494934082
60,18433.58,16446,31103,7607.923984527588
61,18744.76,16446,28680,7728.072166442871
62,17857.2,16446,24201,7876.392841339111
63,18593.8,16446,28199,7991.050004959106
64,18016.78,16446,28930,8108.046770095825
65,18043.06,16446,25056,8219.04969215393
66,18593.52,16446,26347,8345.328330993652
67,18945.0,16446,29231,8471.327781677246
68,18457.68,16446,28528,8587.32533454895
69,18464.3,16446,25284,8727.04815864563
70,18301.34,16446,27776,8844.971656799316
71,19323.5,16446,28678,8958.961486816406
72,18570.76,15941,26996,9066.96081161499
73,18440.76,15941,33934,9199.962139129639
74,17890.9,15941,28171,9329.726457595825
75,18476.44,15941,31737,9468.690872192383
76,17693.6,15941,27350,9587.691307067871
77,18333.24,15941,27446,9702.598571777344
78,17680.32,15941,30112,9810.598373413086
79,17627.26,15941,25136,9926.730155944824
80,17979.34,15495,23479,10053.63392829895
81,18087.16,15495,25454,10185.660362243652
82,17468.58,15495,24061,10309.66067314148
83,17401.0,15495,27786,10410.720586776733
84,18278.0,15495,28918,10531.159400939941
85,18182.88,15495,27575,10650.238752365112
86,17684.62,15495,25804,10771.733045578003
87,18353.58,15495,29029,10923.064708709717
88,17531.68,15495,24822,11041.064977645874
89,17843.66,15495,26963,11166.064739227295
90,17961.26,15495,30677,11302.070379257202
91,17762.28,15495,28266,11411.07153892517
92,17740.18,15495,26337,11523.064136505127
93,18587.74,15495,31203,11642.184972763062
94,19034.02,15495,28973,11824.203729629517
95,17932.06,15495,26101,12018.77474784851
96,18118.88,15495,29032,12133.39900970459
97,17671.82,15495,28283,12251.686811447144
98,17410.08,15495,26430,12376.693487167358
99,18209.3,15495,29117,12511.687278747559
