gen_no,avg_cost,min_cost,max_cost,time
0,38459.66,27903,45515,11.000633239746094
1,33305.59,25617,40986,266.2491798400879
2,28590.08,25617,39566,559.0436458587646
3,26202.75,24329,35029,850.7192134857178
4,25871.38,24062,40016,1149.9958038330078
5,24607.0,22956,33463,1431.2708377838135
6,23965.68,22394,36979,1809.544563293457
7,23258.99,22031,31997,2084.5470428466797
8,23105.4,21791,34394,2422.5833415985107
9,22810.32,21791,33131,2741.5125370025635
10,22442.64,21791,34219,3045.5150604248047
11,22254.82,21791,32198,3401.5417098999023
12,22235.94,21513,29686,3731.8475246429443
13,21933.89,21513,29019,4037.7135276794434
14,21667.29,21513,26541,4289.677143096924
15,22251.88,20033,33561,4568.873643875122
16,21406.33,20033,26767,4878.9989948272705
17,21172.29,19348,34510,5200.1214027404785
18,20358.73,19348,30418,5463.543653488159
19,20106.82,18986,32545,5782.9601764678955
20,19845.55,18986,27494,6039.186239242554
21,19775.42,18986,30825,6366.579055786133
22,19877.81,18986,29944,6651.267766952515
23,19466.11,18986,27999,6947.795391082764
24,19583.79,18986,26728,7249.624252319336
25,19653.03,18476,31350,7558.104515075684
26,19590.18,18476,32156,7836.205720901489
27,18745.29,18316,24186,8121.897220611572
28,19093.65,18316,26756,8386.676549911499
29,18800.66,18316,26759,8640.002965927124
30,18929.34,18316,26976,8995.861291885376
31,19052.34,18316,29502,9218.862056732178
32,19290.27,18316,31166,9561.968088150024
33,18909.26,18316,28981,9849.408149719238
34,19279.2,18316,31661,10143.934965133667
35,18874.3,18316,33217,10446.819543838501
36,18799.54,18316,30466,10746.391296386719
37,19153.14,18316,26901,11029.717922210693
38,19015.35,17671,28671,11367.689371109009
39,18925.53,17401,26936,11649.379253387451
40,18421.85,17401,28730,11977.871417999268
41,18547.74,16865,29286,12215.352058410645
42,17898.62,16865,28471,12499.726057052612
43,17343.18,16430,27076,12791.566610336304
44,17606.18,16430,31792,13077.982664108276
45,16817.67,16430,25653,13283.57982635498
46,17451.1,16430,29584,13593.618154525757
47,16977.16,16130,26223,13888.180255889893
48,17003.93,16130,25951,14145.713090896606
49,16933.12,16130,26785,14451.48515701294
50,16660.9,16130,28510,14730.074405670166
51,16711.16,16130,27265,15047.405481338501
52,16530.62,16130,28248,15343.024015426636
53,17090.67,15870,28008,15673.491716384888
54,17071.44,15870,31864,16019.128799438477
55,16794.61,15870,27863,16295.816659927368
56,16681.99,15870,30550,16550.631761550903
57,16734.13,15870,24745,16889.18900489807
58,16754.23,15870,30883,17162.839889526367
59,16500.56,15870,23940,17474.37286376953
60,16235.93,15870,23413,17726.120471954346
61,17056.6,15870,30846,18068.803787231445
62,16591.22,15870,26728,18372.926235198975
63,16402.11,15870,25415,18619.879484176636
64,16599.68,15870,26440,18907.856702804565
65,16425.91,15870,25652,19213.79017829895
66,16796.33,15870,28570,19506.860971450806
67,16322.86,15870,27098,19856.299877166748
68,16441.42,15870,33593,20108.21533203125
69,16997.57,15870,29771,20405.784606933594
70,16579.84,15580,26841,20734.317541122437
71,16742.92,15580,31114,21007.655382156372
72,16264.73,15580,28210,21267.1480178833
73,16492.71,15580,27853,21555.479764938354
74,16362.34,15580,27045,21831.424951553345
75,16210.74,15580,26670,22126.4386177063
76,16046.14,15580,22909,22410.645961761475
77,16459.7,15580,27592,22673.046588897705
78,16550.43,15580,27844,22989.54200744629
79,16501.27,15580,32255,23240.34857749939
80,16677.96,15580,29585,23538.29264640808
81,16198.69,15052,31383,23852.065324783325
82,16466.91,15052,29130,24123.89612197876
83,16058.73,15052,28812,24373.38423728943
84,15543.64,15052,24951,24682.77359008789
85,15625.98,15052,26412,24959.702014923096
86,15580.22,14732,25204,25219.63620185852
87,15724.35,14012,23158,25550.232887268066
88,15345.67,14012,24402,25816.49923324585
89,14932.74,14012,34299,26045.06778717041
90,14861.55,13680,31331,26440.59419631958
91,14601.27,13680,23733,26710.490942001343
92,14354.45,13680,25222,26991.146087646484
93,15089.76,13680,30546,27322.768449783325
94,14377.92,13680,24043,27602.986097335815
95,14393.57,13680,27445,27925.312042236328
96,14521.61,13680,24994,28196.664333343506
97,14041.69,13680,23100,28434.32593345642
98,14614.28,13680,25295,28796.727180480957
99,14631.41,13680,27907,29106.748342514038
