gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,18.528461456298828
1,38791.16,27903,48544,102.23937034606934
2,37447.92,27903,48362,198.93908500671387
3,37161.64,28773,48547,282.85980224609375
4,37129.74,29289,46704,366.180419921875
5,37473.38,29369,46704,466.5095806121826
6,37561.34,28747,45595,567.2948360443115
7,37258.06,27015,46860,658.2865715026855
8,37915.8,29223,47435,769.2921161651611
9,37852.84,29223,44892,872.286319732666
10,37083.24,26919,44898,949.2921829223633
11,36835.24,27350,46694,1045.2876091003418
12,35875.72,28729,48298,1131.286382675171
13,36545.4,28375,47448,1225.329875946045
14,34993.8,26827,47448,1318.3369636535645
15,35302.2,26827,43108,1407.1576595306396
16,36483.48,28477,43776,1499.1676807403564
17,36853.48,30022,44143,1613.0397319793701
18,35839.84,25586,44143,1698.6801624298096
19,35117.04,24765,41133,1782.8621864318848
20,35554.04,24765,41494,1863.459587097168
21,35935.62,25994,42386,1935.5452060699463
22,35462.58,25994,45386,2010.5409622192383
23,35634.94,24075,46118,2101.184606552124
24,35676.3,24075,45386,2196.1851119995117
25,35911.72,27716,43873,2325.1850605010986
26,36422.12,29549,44524,2390.1846408843994
27,35676.5,29549,42667,2464.189291000366
28,35532.76,26307,42440,2572.9453563690186
29,34532.6,27234,42440,2639.9450302124023
30,33706.26,27234,43437,2714.674711227417
31,34041.52,27234,41728,2802.393674850464
32,34667.46,26492,44835,2860.391855239868
33,34417.24,25452,44799,2945.6982612609863
34,34670.86,29391,45644,3020.904302597046
