gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,20.04528045654297
1,38518.12,32347,45534,101.29284858703613
2,38330.98,29566,45603,184.07607078552246
3,38099.94,30541,47200,251.07169151306152
4,37979.28,29910,47127,338.62972259521484
5,38339.44,30999,48494,400.07662773132324
6,38301.6,32956,48528,480.1304340362549
7,37894.86,29951,48952,549.2246150970459
8,37221.42,31295,45095,647.9182243347168
9,35947.76,30452,43133,748.6145496368408
10,35822.14,27518,43133,817.0144557952881
11,35997.58,32027,42608,899.0094661712646
12,36112.14,30091,44697,998.9397525787354
13,36401.86,30091,46337,1066.6534900665283
14,36371.5,27999,45667,1180.788278579712
15,36383.72,29319,44164,1312.4620914459229
16,36888.32,30353,46029,1418.8697338104248
17,36312.08,29193,46822,1531.5048694610596
18,37098.26,29822,46714,1618.0024147033691
19,36777.98,27796,47197,1681.6372871398926
20,35947.84,28454,43905,1780.3843021392822
21,35793.66,28454,43905,1864.6824359893799
22,35335.74,28454,44604,1962.3401165008545
23,35516.94,28655,43936,2049.431324005127
24,35234.88,30112,44991,2148.043394088745
25,35499.92,29393,44991,2249.519109725952
26,35790.36,29393,43603,2316.812038421631
27,35664.86,30239,42855,2397.315502166748
28,35691.56,30781,43015,2483.818769454956
29,36958.12,30896,45018,2546.8108654022217
30,36505.96,29665,45521,2629.598379135132
31,36589.74,27307,47353,2714.770555496216
32,36212.44,28517,49613,2810.575246810913
33,36227.3,24979,47760,2896.2602615356445
34,34924.68,24539,45423,3012.8443241119385
35,34825.4,24539,45076,3098.702907562256
36,33013.7,24539,42751,3179.978847503662
37,32935.32,24539,43806,3245.0971603393555
38,32395.06,24539,40469,3314.096450805664
39,32930.32,24499,40017,3397.573709487915
40,33114.26,26274,43351,3463.488817214966
41,33519.38,25715,42643,3546.59104347229
42,33335.12,26396,42922,3629.823684692383
43,33169.16,26396,44078,3722.679853439331
44,33281.16,23818,40911,3831.2411308288574
45,32827.7,23818,40911,3894.3488597869873
46,33981.9,23818,45800,3975.912570953369
47,34203.46,25137,45800,4070.072650909424
48,34295.5,25787,44701,4161.367177963257
49,32861.76,24734,42667,4231.2586307525635
50,33080.36,26264,42667,4295.868396759033
51,33403.66,25886,46061,4380.53822517395
52,34765.62,27203,46061,4461.431264877319
53,34457.0,24928,43096,4595.632791519165
54,34831.84,25693,45677,4680.347919464111
55,35044.56,24114,43853,4772.7155685424805
56,35503.04,24114,43853,4827.715158462524
57,34273.46,23324,42643,4909.715175628662
58,34584.64,23324,45089,4995.831489562988
59,34680.94,23324,42477,5079.09893989563
60,33182.62,23324,42386,5145.075559616089
61,34164.36,23324,41862,5227.120161056519
62,34069.78,26541,42981,5341.021776199341
63,33996.94,26740,41110,5400.805950164795
64,34361.0,29142,43372,5478.806257247925
65,33309.58,28127,39659,5541.05019569397
66,33360.66,29037,40884,5612.050533294678
67,33387.0,27275,41759,5678.034782409668
68,33716.34,27339,41721,5762.617111206055
69,33931.98,27339,42648,5844.42663192749
70,33944.9,27513,43000,5912.249326705933
71,33873.86,26657,42451,5979.227781295776
72,33312.52,26657,41594,6076.405763626099
73,33514.7,27203,41979,6162.751913070679
74,33744.18,26657,43947,6244.746208190918
75,33464.78,26657,44215,6326.490879058838
76,33380.7,26657,44215,6394.632339477539
77,33809.74,26851,45925,6493.600130081177
78,34270.8,26923,45925,6577.752113342285
79,33847.74,25414,44281,6659.500360488892
80,32920.34,25753,38997,6726.369142532349
81,33509.84,25753,38997,6842.200756072998
82,33965.3,26457,41903,6928.030014038086
83,33524.74,26457,41437,6994.017839431763
84,33489.76,24524,39112,7095.605134963989
85,33794.98,24239,39112,7160.277843475342
86,33962.3,24869,41921,7288.774013519287
87,34891.02,26905,41921,7360.417366027832
88,33529.74,26105,40644,7427.33097076416
89,33599.04,26654,40364,7526.232004165649
90,31803.84,25399,39846,7641.509771347046
91,33155.26,27204,40431,7726.66335105896
92,31786.46,25740,40962,7808.302164077759
93,33054.64,27394,40962,7875.962734222412
94,32802.06,25812,40962,7943.830251693726
95,32477.2,27201,40962,8026.336193084717
96,33008.86,27345,41035,8109.424352645874
97,33232.22,26577,41332,8191.363573074341
98,32981.18,27903,41967,8259.087085723877
99,33340.68,26532,41967,8375.77509880066
