gen_no,avg_cost,min_cost,max_cost,time
0,38518.96,27903,45515,9.010076522827148
1,32538.76,27903,39995,86.25674247741699
2,28421.3,25834,35433,168.2565212249756
3,27321.98,25188,32706,264.25695419311523
4,25479.44,24218,28066,341.0630226135254
5,24659.04,23798,30544,415.06266593933105
6,24110.62,23798,32368,493.06273460388184
7,24016.86,23798,33927,574.0630626678467
8,23954.36,21901,26458,672.5263595581055
9,23623.0,21901,34023,772.2434997558594
10,22516.88,21901,30741,854.3837070465088
11,22835.56,21901,38524,930.5901527404785
12,22596.98,21901,30701,1007.6923370361328
13,22208.36,20526,27563,1099.0180969238281
14,21881.62,20207,29088,1175.0209331512451
15,21207.34,20081,34363,1245.2452182769775
16,20956.22,20021,36863,1402.2367000579834
17,20526.98,20021,29044,1487.236738204956
18,20770.4,19096,29086,1607.5139045715332
19,19982.22,19096,31871,1688.514232635498
20,19871.54,19096,35155,1786.513090133667
21,20125.5,19096,30278,1880.8016777038574
22,19557.3,19096,31614,1979.6645641326904
23,19288.46,19096,23616,2065.6652450561523
24,19925.42,19096,30673,2154.797315597534
25,20164.24,19096,34683,2266.948461532593
26,19614.76,19096,25658,2350.517988204956
27,19750.38,19061,28061,2454.5698165893555
28,19656.42,19061,25251,2526.1173248291016
29,19811.8,19061,28977,2613.9979362487793
30,20413.18,19061,32431,2689.061403274536
31,19708.5,19061,28353,2787.529706954956
32,19642.78,19061,25642,2870.6634044647217
33,19655.06,19061,31969,2954.7340869903564
34,20021.9,19061,28910,3038.891315460205
35,19510.6,19061,26887,3116.5597438812256
36,19602.38,19061,24816,3204.559803009033
37,19417.48,19061,25402,3305.1810264587402
38,20529.82,19061,31863,3379.492998123169
39,19743.42,19061,27835,3456.493139266968
40,19949.22,18793,32446,3553.3509254455566
41,19383.82,18793,29318,3628.838062286377
42,19526.44,18793,27831,3707.875967025757
43,19436.18,18793,26711,3784.9860191345215
44,19034.9,18793,24723,3850.231409072876
45,19165.74,18793,25433,3952.798366546631
46,19480.5,18793,27676,4038.484811782837
47,19086.0,18793,28233,4111.141920089722
48,19073.42,18768,23913,4184.1418743133545
49,19478.82,18768,25164,4264.141321182251
50,18902.06,18768,22303,4341.141939163208
51,19254.44,18768,24199,4424.746990203857
52,19147.66,18768,24108,4493.966579437256
53,19681.52,18768,29626,4570.021390914917
54,19249.44,18768,27905,4653.087139129639
55,19319.92,18768,28186,4769.289255142212
56,19522.48,18500,23884,4864.900350570679
57,19290.52,18405,28598,4962.899446487427
58,19090.66,17900,25990,5054.932594299316
59,18592.84,17900,26864,5144.932746887207
60,18410.24,17860,26989,5212.937593460083
61,18484.66,17702,26887,5303.852558135986
62,18266.88,17662,26659,5389.615774154663
63,19183.94,17662,33340,5500.611066818237
64,18386.18,17662,26455,5586.245536804199
65,18049.64,17572,23622,5671.234846115112
66,18199.06,17572,30384,5752.450466156006
67,18020.6,17572,22372,5819.446325302124
68,18238.74,17572,24037,5902.230739593506
69,18152.84,17572,32985,5979.67529296875
70,17823.7,17572,22563,6054.675340652466
71,17939.4,17572,23620,6117.884635925293
72,18602.18,17572,34754,6216.584920883179
73,18517.72,17572,32942,6310.212135314941
74,18291.36,17572,25102,6386.212110519409
75,18289.54,17572,27557,6479.937314987183
76,17948.66,17572,23290,6546.9372272491455
77,18939.32,17252,28597,6636.413097381592
78,18131.7,17252,24624,6727.413177490234
79,17477.84,17252,23434,6808.412790298462
80,18027.9,17252,27653,6890.413045883179
81,17951.36,17252,26279,6999.1888999938965
82,18308.44,17252,26737,7103.876113891602
83,18050.72,17252,29878,7184.927940368652
84,17984.2,17252,26442,7267.578840255737
85,18295.84,17252,27518,7358.600854873657
86,17440.0,17252,20937,7429.099082946777
87,17699.92,17252,22342,7521.984338760376
88,17798.26,17252,24355,7597.219228744507
89,17859.72,17212,33467,7693.43900680542
90,17973.02,17212,29036,7806.439399719238
91,18109.38,17212,25660,7876.439332962036
92,17662.94,17212,27472,7964.439153671265
93,18039.36,17032,26137,8049.284219741821
94,17953.14,17032,25867,8133.054256439209
95,18109.18,17032,33068,8199.436902999878
96,18422.44,17032,29776,8285.485744476318
97,17428.36,17032,25387,8357.156991958618
98,17585.24,17032,24217,8432.438611984253
99,17703.74,17032,24545,8533.010482788086
