model,n_splits,test_size,min_df,max_df,max_features,worst_score,best_score

SVC(),5,0.3,0.01,0.4,1000,0.6206896551724138,0.6341594827586207

SVC(kernel='sigmoid'),5,0.3,0.01,0.4,1000,0.5177801724137931,0.5463362068965517

RandomForestClassifier(),5,0.3,0.01,0.4,1000,0.6056034482758621,0.6158405172413793

GaussianNB(),5,0.3,0.01,0.4,1000,0.3706896551724138,0.3927801724137931

MultinomialNB(),5,0.3,0.01,0.4,1000,0.6594827586206896,0.6891163793103449

BernoulliNB(),5,0.3,0.01,0.4,1000,0.5323275862068966,0.6007543103448276

ComplementNB(),5,0.3,0.01,0.4,1000,0.6514008620689655,0.6740301724137931

